child_canonical_name,child_funder_id,child_ror,child_types,child_articles,parent_canonical_name,parent_funder_id,parent_ror
National Institute of Arthritis and Musculoskeletal and Skin Diseases,F4320337362,006zn3t30,facility|funder,2232,National Institutes of Health,F4320332161,01cwqze88
National Institute of Biomedical Imaging and Bioengineering,F4320337363,00372qc85,facility|funder,2201,National Institutes of Health,F4320332161,01cwqze88
National Human Genome Research Institute,F4320337348,00baak391,facility|funder,2145,National Institutes of Health,F4320332161,01cwqze88
National Institute on Minority Health and Health Disparities,F4320337534,0493hgw16,funder|government,1971,National Institutes of Health,F4320332161,01cwqze88
National Institute of Child Health and Human Development,F4320337364,04byxyr05,facility|funder,1824,National Institutes of Health,F4320332161,01cwqze88
Fogarty International Center,F4320337356,02xey9a22,funder|healthcare,1691,National Institutes of Health,F4320332161,01cwqze88
National Institute on Alcohol Abuse and Alcoholism,F4320337330,02jzrsm59,facility|funder,1355,National Institutes of Health,F4320332161,01cwqze88
National Institute of Dental and Craniofacial Research,F4320337365,004a2wv92,facility|funder,1279,National Institutes of Health,F4320332161,01cwqze88
National Institute on Deafness and Other Communication Disorders,F4320337352,04mhx6838,funder|government,1235,National Institutes of Health,F4320332161,01cwqze88
National Center for Research Resources,F4320337375,04pw6fb54,funder|government,1137,National Institutes of Health,F4320332161,01cwqze88
U.S. National Library of Medicine,F4320337372,0060t0j89,archive|funder,899,National Institutes of Health,F4320332161,01cwqze88
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",F4320309123,043z4tv69,facility|funder,707,National Institutes of Health,F4320332161,01cwqze88
National Institute of Nursing Research,F4320337353,01y3zfr79,facility|funder,634,National Institutes of Health,F4320332161,01cwqze88
National Center for Complementary and Integrative Health,F4320337593,00190t495,facility|funder,622,National Institutes of Health,F4320332161,01cwqze88
NIH Office of the Director,F4320337349,00fj8a872,funder|other,605,National Institutes of Health,F4320332161,01cwqze88
NIH Clinical Center,F4320337376,04vfsmv21,funder|healthcare,548,National Institutes of Health,F4320332161,01cwqze88
"Division of Cancer Prevention, National Cancer Institute",F4320309684,040gcmg81,funder|government,157,National Institutes of Health,F4320332161,01cwqze88
Frederick National Laboratory for Cancer Research,F4320313762,03v6m3209,facility|funder,125,National Institutes of Health,F4320332161,01cwqze88
"Office of Extramural Research, National Institutes of Health",F4320337544,05aq6yn88,funder|government,122,National Institutes of Health,F4320332161,01cwqze88
Office of Research on Women's Health,F4320337381,00fj8a872,funder|other,101,National Institutes of Health,F4320332161,01cwqze88
Center for Cancer Research,F2860323509,05bjen692,facility,95,National Institutes of Health,F4320332161,01cwqze88
Office of Dietary Supplements,F4320306096,01wtjyf13,funder|government,89,National Institutes of Health,F4320332161,01cwqze88
Center for Scientific Review,F4320337432,04r5s4b52,funder|government,60,National Institutes of Health,F4320332161,01cwqze88
Office of Behavioral and Social Sciences Research,F4320337379,00fj8a872,funder|other,57,National Institutes of Health,F4320332161,01cwqze88
Center for Information Technology,F4320337373,03jh5a977,facility|funder,56,National Institutes of Health,F4320332161,01cwqze88
Office of AIDS Research,F4320337464,02e3wq066,funder|other,31,National Institutes of Health,F4320332161,01cwqze88
"Center for Strategic Scientific Initiatives, National Cancer Institute",F4320310678,040gcmg81,funder|government,28,National Institutes of Health,F4320332161,01cwqze88
National Center on Minority Health and Health Disparities,F4320337374,0493hgw16,funder|government,24,National Institutes of Health,F4320332161,01cwqze88
National Center for Complementary and Alternative Medicine,F4320337358,00190t495,facility|funder,21,National Institutes of Health,F4320332161,01cwqze88
National Center for Medical Rehabilitation Research,F4320338296,04byxyr05,facility|funder,21,National Institutes of Health,F4320332161,01cwqze88
Office of Disease Prevention,F4320337465,046zezr58,funder|government,18,National Institutes of Health,F4320332161,01cwqze88
Office of Strategic Coordination,F4320337466,02e3wq066,funder|other,18,National Institutes of Health,F4320332161,01cwqze88
Immune Tolerance Network,F4320314903,00pjnm784,funder|nonprofit,13,National Institutes of Health,F4320332161,01cwqze88
Framingham Heart Study,F4320316944,031grv205,facility|funder,6,National Institutes of Health,F4320332161,01cwqze88
Office of Data Science Strategy,F766871365,04g4sf283,funder|government,4,National Institutes of Health,F4320332161,01cwqze88
Directorate for Biological Sciences,F4320332167,001xhss06,funder|government,2351,National Science Foundation,F4320306076,021nxhr62
Division of Materials Research,F4320337367,01pc7k308,funder|government,1890,National Science Foundation,F4320306076,021nxhr62
Division of Chemistry,F4320337393,01ar8dr59,funder|government,1462,National Science Foundation,F4320306076,021nxhr62
Division of Graduate Education,F4320337368,00whkrf32,funder|government,810,National Science Foundation,F4320306076,021nxhr62
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",F4320337390,0471zv972,funder|government,657,National Science Foundation,F4320306076,021nxhr62
"Division of Electrical, Communications and Cyber Systems",F4320337392,01krpsy48,funder|government,515,National Science Foundation,F4320306076,021nxhr62
"Division of Civil, Mechanical and Manufacturing Innovation",F4320337391,028yd4c30,funder|government,383,National Science Foundation,F4320306076,021nxhr62
