child_canonical_name,child_funder_id,child_ror,child_types,child_articles,parent_canonical_name,parent_funder_id,parent_ror
National Energy Research Scientific Computing Center,F4320317220,05v3mvq14,facility|funder,204,U.S. Department of Energy,F4320306084,01bj3aw27
Joint Genome Institute,F4320316170,04xm1d337,facility|funder,200,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Energy Efficiency and Renewable Energy,F4320332360,02xznz413,funder|government,181,U.S. Department of Energy,F4320306084,01bj3aw27
Lawrence Livermore National Laboratory,F4320338286,041nk4h53,facility|funder,178,U.S. Department of Energy,F4320306084,01bj3aw27
Sandia National Laboratories,F4320338291,01apwpt12,facility|funder,140,U.S. Department of Energy,F4320306084,01bj3aw27
Advanced Research Projects Agency - Energy,F4320332276,03q1rgc19,funder|government,99,U.S. Department of Energy,F4320306084,01bj3aw27
Advanced Scientific Computing Research,F4320337506,0012c7r22,funder|government,84,U.S. Department of Energy,F4320306084,01bj3aw27
National Renewable Energy Laboratory,F4320338290,036266993,facility|funder,71,U.S. Department of Energy,F4320306084,01bj3aw27
Great Lakes Bioenergy Research Center,F4320333880,01ca2by25,facility|funder,64,U.S. Department of Energy,F4320306084,01bj3aw27
Center for Integrated Nanotechnologies,F4320315466,031yh0y38,facility|funder,63,U.S. Department of Energy,F4320306084,01bj3aw27
Nuclear Physics,F4320337512,02atag894,funder|government,61,U.S. Department of Energy,F4320306084,01bj3aw27
Workforce Development for Teachers and Scientists,F4320337513,05msy3529,funder|government,49,U.S. Department of Energy,F4320306084,01bj3aw27
High Energy Physics,F4320337511,035m6g344,funder|government,43,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Nuclear Energy,F4320332364,05tj7dm33,funder|government,35,U.S. Department of Energy,F4320306084,01bj3aw27
Hydrogen and Fuel Cell Technologies Office,F4320337646,05csy5p27,funder|government,30,U.S. Department of Energy,F4320306084,01bj3aw27
National Energy Technology Laboratory,F4320333450,01x26mz03,facility|funder,30,U.S. Department of Energy,F4320306084,01bj3aw27
Fusion Energy Sciences,F4320337510,02n3j8t12,funder|government,27,U.S. Department of Energy,F4320306084,01bj3aw27
Nuclear Energy University Program,F4320337546,05tj7dm33,funder|government,23,U.S. Department of Energy,F4320306084,01bj3aw27
Solar Energy Technologies Office,F4320337712,033jmdj81,funder|government,21,U.S. Department of Energy,F4320306084,01bj3aw27
Environmental Molecular Sciences Laboratory,F4320318719,04rc0xn13,facility|funder,19,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Fossil Energy,F4320332353,03ery9d53,funder|government,17,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Environmental Management,F4320332361,00km40770,funder|government,15,U.S. Department of Energy,F4320306084,01bj3aw27
Advanced Manufacturing Office,F4320336741,02xznz413,funder|government,13,U.S. Department of Energy,F4320306084,01bj3aw27
Advanced Materials and Manufacturing Technologies Office,F5544845060,03esms521,funder|government,13,U.S. Department of Energy,F4320306084,01bj3aw27
Fuel Cell Technologies Program,F4320337305,04d8cf622,funder|government,13,U.S. Department of Energy,F4320306084,01bj3aw27
Nuclear Fuel Cycle and Supply Chain,F4320337197,05tj7dm33,funder|government,13,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Defense Nuclear Nonproliferation,F4320337501,03sk1we31,funder|government,13,U.S. Department of Energy,F4320306084,01bj3aw27
Savannah River National Laboratory,F4320338380,05vc7qy59,facility|funder,10,U.S. Department of Energy,F4320306084,01bj3aw27
Fermilab,F4320338288,020hgte69,facility|funder,8,U.S. Department of Energy,F4320306084,01bj3aw27
Idaho National Laboratory,F4320338347,00ty2a548,facility|funder,6,U.S. Department of Energy,F4320306084,01bj3aw27
Industrial Efficiency and Decarbonization Office,F7314457303,05vk3sy20,funder|government,6,U.S. Department of Energy,F4320306084,01bj3aw27
Ames Laboratory,F4320338346,041m9xr71,facility|funder,4,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Nuclear Energy Technologies,F4320337545,05tj7dm33,funder|government,4,U.S. Department of Energy,F4320306084,01bj3aw27
Vehicle Technologies Program,F4320336521,00f93gc02,funder|government,3,U.S. Department of Energy,F4320306084,01bj3aw27
Building Technologies Program,F4320337483,02xznz413,funder|government,2,U.S. Department of Energy,F4320306084,01bj3aw27
Geothermal Technologies Program,F4320337219,00heb4d89,funder|government,2,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Defense Nuclear Security,F4320337502,03sk1we31,funder|government,2,U.S. Department of Energy,F4320306084,01bj3aw27
"Savannah River Operations Office, U.S. Department of Energy",F4320310910,05hhm9a98,funder|government,1,U.S. Department of Energy,F4320306084,01bj3aw27
Solar Energy Technologies Program,F4320335818,02xznz413,funder|government,1,U.S. Department of Energy,F4320306084,01bj3aw27
Office of Research and Development,F4320309037,05rsv9s98,funder|government,334,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Health Services Research and Development,F4320309610,05rsv9s98,funder|government,196,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Quality Enhancement Research Initiative,F4320332498,03cdz5d08,funder|other,105,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Rehabilitation Research and Development Service,F4320332403,008qp6e21,funder|government,78,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Geriatric Research Education and Clinical Center,F4320334047,01nh3sx96,funder|healthcare,44,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
"Biomedical Laboratory Research and Development, VA Office of Research and Development",F4320309842,05rsv9s98,funder|government,42,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
"National Center for PTSD, U.S. Department of Veterans Affairs",F4320334434,04xv0vq46,facility|funder,28,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Veterans Affairs San Diego Healthcare System,F4320332757,00znqwq11,funder|healthcare,19,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
VA Pittsburgh Healthcare System,F4320334460,02qm18h86,funder|healthcare,18,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
VA Greater Los Angeles Healthcare System,F4320334147,05xcarb80,funder|healthcare,13,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
"VISN 4 Mental Illness Research, Education, and Clinical Center",F4320333931,04fhxp168,funder|healthcare,12,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
"Center for Integrated Healthcare, U.S. Department of Veterans Affairs",F4320309346,02hd1sz82,funder|healthcare,5,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
VA Western New York Healthcare System,F4320334442,00a1c5n07,funder|healthcare,5,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
James A. Haley Veterans' Hospital,F4320332400,006xyf785,funder|healthcare,4,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Iowa City Veterans Affairs Medical Center,F4320334219,03r9k1585,funder|healthcare,3,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Office of Diversity and Inclusion,F4320337535,04s3dsz85,funder|government,3,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
VA Puget Sound Health Care System,F1561111641,00ky3az31,healthcare,3,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
Office of the General Counsel,F4320337410,05rsv9s98,funder|government,1,U.S. Department of Veterans Affairs,F4320306127,05rsv9s98
