canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type,openalex_id,openalex_name,openalex_country,openalex_works_count,validation_status
National Library of Medicine,NLM,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337372,U.S. National Library of Medicine,US,6107.0,explicit_alias
National Institute of Dental and Craniofacial Research,National Institute of Dental and Craniofacial Research,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337365,National Institute of Dental and Craniofacial Research,US,11222.0,explicit_alias
National Institute of Dental and Craniofacial Research,NIDCR,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337365,National Institute of Dental and Craniofacial Research,US,11222.0,explicit_alias
National Institute on Deafness and Other Communication Disorders,National Institute on Deafness and Other Communication Disorders,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337352,National Institute on Deafness and Other Communication Disorders,US,13404.0,explicit_alias
National Institute on Deafness and Other Communication Disorders,NIDCD,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337352,National Institute on Deafness and Other Communication Disorders,US,13404.0,explicit_alias
National Institute of Biomedical Imaging and Bioengineering,National Institute of Biomedical Imaging and Bioengineering,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337363,National Institute of Biomedical Imaging and Bioengineering,US,13410.0,explicit_alias
National Institute of Biomedical Imaging and Bioengineering,NIBIB,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337363,National Institute of Biomedical Imaging and Bioengineering,US,13410.0,explicit_alias
National Institute on Minority Health and Health Disparities,National Institute on Minority Health and Health Disparities,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337534,National Institute on Minority Health and Health Disparities,US,10167.0,explicit_alias
National Institute on Minority Health and Health Disparities,NIMHD,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337534,National Institute on Minority Health and Health Disparities,US,10167.0,explicit_alias
National Institute of Nursing Research,National Institute of Nursing Research,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337353,National Institute of Nursing Research,US,6429.0,explicit_alias
National Institute of Nursing Research,NINR,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337353,National Institute of Nursing Research,US,6429.0,explicit_alias
National Center for Complementary and Integrative Health,National Center for Complementary and Integrative Health,primary,USA,National Institutes of Health,0,0,manual,manual,government,F4320337593,National Center for Complementary and Integrative Health,US,2849.0,explicit_alias
National Center for Complementary and Integrative Health,NCCIH,acronym_manual,USA,National Institutes of Health,0,0,manual,manual,government,F4320337593,National Center for Complementary and Integrative Health,US,2849.0,explicit_alias
