journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
Oncogene,169,79.0,13.0,169.0,79.0,0.0,0.0,46.7,7.7,79.0,,,46.7,,
Genome Biology and Evolution,333,155.0,135.0,192.0,133.0,141.0,22.0,46.5,40.5,230.44502617801047,220.7506072580108,239.07692033363284,69.2,66.291474,71.794871
Plant Communications,231,107.0,21.0,7.0,3.0,224.0,104.0,46.3,9.1,107.0,,,46.3,,
G3 Genes Genomes Genetics,352,162.0,124.0,213.0,138.0,139.0,24.0,46.0,35.2,228.05633802816902,218.84795696367604,236.5363604366752,64.8,62.172715,67.19783
npj Science of Learning,107,49.0,40.0,106.0,48.0,1.0,1.0,45.8,37.4,49.0,,,45.8,,
Cell Death and Differentiation,120,55.0,7.0,120.0,55.0,0.0,0.0,45.8,5.8,55.0,,,45.8,,
Nature Medicine,349,160.0,184.0,343.0,160.0,6.0,0.0,45.8,52.7,162.8943661971831,162.54941041210137,163.24214160817644,46.7,46.575762,46.774253
NAR Genomics and Bioinformatics,248,112.0,105.0,109.0,84.0,139.0,28.0,45.2,42.3,190.82407407407408,178.60105441407342,200.4830359422877,76.9,72.016554,80.839934
Parasitology,159,71.0,7.0,102.0,48.0,57.0,23.0,44.7,4.4,76.5,71.0,82.14727788209112,48.1,44.654088,51.664955
Gut Pathogens,103,46.0,6.0,103.0,46.0,0.0,0.0,44.7,5.8,46.0,,,44.7,,
PLANT PHYSIOLOGY,370,164.0,26.0,258.0,120.0,112.0,44.0,44.3,7.0,172.09302325581396,165.38358370219777,178.9171049584276,46.5,44.698266,48.355974
HardwareX,147,65.0,46.0,0.0,0.0,147.0,65.0,44.2,31.3,65.0,,,44.2,,
Data in Brief,1629,714.0,169.0,0.0,0.0,1629.0,714.0,43.8,10.4,714.0,,,43.8,,
BMC Ecology and Evolution,198,86.0,48.0,198.0,86.0,0.0,0.0,43.4,24.2,86.0,,,43.4,,
Frontiers in Microbiology,3850,1665.0,109.0,2477.0,1279.0,1373.0,386.0,43.2,2.8,1987.4479967624443,1960.3804956234308,2014.4473598643708,51.6,50.918974,52.323308
Journal of Clinical Investigation,800,346.0,46.0,21.0,13.0,779.0,333.0,43.2,5.8,346.0,,,43.2,,
Access Microbiology,214,91.0,11.0,0.0,0.0,214.0,91.0,42.5,5.1,91.0,,,42.5,,
Genetics,132,56.0,44.0,96.0,50.0,36.0,6.0,42.4,33.3,68.75,65.19329301970635,72.24899155906644,52.1,49.388858,54.734085
BMC Medical Genomics,350,148.0,30.0,350.0,148.0,0.0,0.0,42.3,8.6,148.0,,,42.3,,
BMC Plant Biology,1982,834.0,86.0,1982.0,834.0,0.0,0.0,42.1,4.3,834.0,,,42.1,,
Parasitology Research,141,59.0,15.0,141.0,59.0,0.0,0.0,41.8,10.6,59.0,,,41.8,,
Molecular Biology and Evolution,354,147.0,126.0,197.0,122.0,157.0,25.0,41.5,35.6,219.2284263959391,208.32089564757507,229.41950076432366,61.9,58.847711,64.807769
Human Genetics and Genomics Advances,139,57.0,38.0,10.0,4.0,129.0,53.0,41.0,27.3,57.0,,,41.0,,
Applied Microbiology and Biotechnology,551,226.0,49.0,551.0,226.0,0.0,0.0,41.0,8.9,226.0,,,41.0,,
IUCrJ,115,47.0,13.0,0.0,0.0,115.0,47.0,40.9,11.3,47.0,,,40.9,,
The Plant Journal,172,70.0,29.0,92.0,42.0,80.0,28.0,40.7,16.9,84.10526315789474,73.93423556177851,94.01043387492268,48.9,42.985021,54.657229
Nucleic Acids Research,1610,647.0,332.0,878.0,526.0,732.0,121.0,40.2,20.6,960.4665127020785,936.268595290424,984.0596741324225,59.7,58.153329,61.121719
Journal of Proteome Research,205,82.0,34.0,18.0,15.0,187.0,67.0,40.0,16.6,82.0,,,40.0,,
Nature,1722,685.0,496.0,1720.0,684.0,2.0,1.0,39.8,28.8,685.1908237747654,685.128053134795,685.2520716957067,39.8,39.786763,39.793965
Cancer Research Communications,313,124.0,35.0,3.0,1.0,310.0,123.0,39.6,11.2,124.0,,,39.6,,
Oecologia,104,41.0,50.0,104.0,41.0,0.0,0.0,39.4,48.1,41.0,,,39.4,,
Ecology,130,51.0,34.0,60.0,48.0,70.0,3.0,39.2,26.2,59.09388698493664,59.021516446880845,59.16664275655131,45.5,45.401166,45.512802
npj Precision Oncology,441,172.0,116.0,441.0,172.0,0.0,0.0,39.0,26.3,172.0,,,39.0,,
PLoS Computational Biology,1064,412.0,799.0,1063.0,412.0,1.0,0.0,38.7,75.1,412.3879472693032,412.3590939982549,412.41760828095806,38.8,38.755554,38.761053
Brazilian Journal of Microbiology,177,68.0,5.0,177.0,68.0,0.0,0.0,38.4,2.8,68.0,,,38.4,,
Open Research Europe,222,85.0,47.0,222.0,85.0,0.0,0.0,38.3,21.2,85.0,,,38.3,,
GigaScience,177,67.0,76.0,54.0,44.0,123.0,23.0,37.9,42.9,143.79245283018867,128.42877876979023,153.98018930992603,81.2,72.558632,86.994457
Theoretical and Applied Genetics,127,47.0,55.0,127.0,47.0,0.0,0.0,37.0,43.3,47.0,,,37.0,,
Clinical Cancer Research,214,79.0,24.0,4.0,2.0,210.0,77.0,36.9,11.2,79.0,,,36.9,,
The Plant Cell,204,75.0,17.0,134.0,46.0,70.0,29.0,36.8,8.3,75.0,75.0,75.8925508794458,36.8,36.764706,37.202231
Gut Microbes,414,149.0,45.0,165.0,99.0,249.0,50.0,36.0,10.9,248.4,229.42459051082398,266.2423256993991,60.0,55.416568,64.309741
Communications Medicine,467,167.0,153.0,467.0,167.0,0.0,0.0,35.8,32.8,167.0,,,35.8,,
Microbiology,115,41.0,13.0,0.0,0.0,115.0,41.0,35.7,11.3,41.0,,,35.7,,
Horticulture Research,452,160.0,24.0,263.0,135.0,189.0,25.0,35.4,5.3,232.01520912547528,220.64431406336865,243.31368349023614,51.3,48.815114,53.830461
Protein Science,310,109.0,41.0,189.0,75.0,121.0,34.0,35.2,13.2,123.00543478260869,114.79164716456569,131.7302819501778,39.7,37.029564,42.493639
npj Genomic Medicine,107,37.0,18.0,107.0,37.0,0.0,0.0,34.6,16.8,37.0,,,34.6,,
Current Research in Microbial Sciences,135,46.0,8.0,0.0,0.0,135.0,46.0,34.1,5.9,46.0,,,34.1,,
Evolutionary Applications,220,75.0,68.0,96.0,63.0,124.0,12.0,34.1,30.9,144.375,132.0529268581519,155.2060914268115,65.6,60.024058,70.548223
Journal of Biological Chemistry,1444,491.0,71.0,11.0,5.0,1433.0,486.0,34.0,4.9,491.0,,,34.0,,
Movement Ecology,120,40.0,41.0,120.0,40.0,0.0,0.0,33.3,34.2,40.0,,,33.3,,
Molecular Therapy,123,41.0,8.0,20.0,9.0,103.0,32.0,33.3,6.5,41.0,,,33.3,,
Parasites & Vectors,704,234.0,35.0,704.0,234.0,0.0,0.0,33.2,5.0,234.0,,,33.2,,
PLoS neglected tropical diseases,950,314.0,94.0,948.0,314.0,2.0,0.0,33.1,9.9,314.662447257384,314.60399358872775,314.7236256285874,33.1,33.11621,33.128803
Molecular Cancer,237,78.0,22.0,237.0,78.0,0.0,0.0,32.9,9.3,78.0,,,32.9,,
Signal Transduction and Targeted Therapy,380,124.0,17.0,380.0,124.0,0.0,0.0,32.6,4.5,124.0,,,32.6,,
Rice,115,37.0,6.0,115.0,37.0,0.0,0.0,32.2,5.2,37.0,,,32.2,,
Clinical Epigenetics,246,79.0,38.0,246.0,79.0,0.0,0.0,32.1,15.4,79.0,,,32.1,,
Ecology and Evolution,2325,745.0,488.0,984.0,555.0,1341.0,190.0,32.0,21.0,1311.356707317073,1269.5526990113126,1352.4929423141793,56.4,54.604417,58.171739
iMeta,135,43.0,55.0,81.0,40.0,54.0,3.0,31.9,40.7,66.66666666666666,60.93684221001763,72.42667757273045,49.4,45.138402,53.649391
BMC Bioinformatics,526,167.0,325.0,526.0,167.0,0.0,0.0,31.7,61.8,167.0,,,31.7,,
npj Systems Biology and Applications,194,61.0,111.0,194.0,61.0,0.0,0.0,31.4,57.2,61.0,,,31.4,,
EBioMedicine,681,211.0,113.0,7.0,2.0,674.0,209.0,31.0,16.6,211.0,,,31.0,,
Molecular Neurodegeneration,110,34.0,10.0,110.0,34.0,0.0,0.0,30.9,9.1,34.0,,,30.9,,
AMB Express,222,68.0,7.0,222.0,68.0,0.0,0.0,30.6,3.2,68.0,,,30.6,,
Psychophysiology,125,38.0,39.0,61.0,24.0,64.0,14.0,30.4,31.2,38.0,,,30.4,,
Journal of Experimental & Clinical Cancer Research,406,123.0,13.0,406.0,123.0,0.0,0.0,30.3,3.2,123.0,,,30.3,,
Journal of Animal Science and Biotechnology/Journal of animal science and biotechnology,232,70.0,6.0,232.0,70.0,0.0,0.0,30.2,2.6,70.0,,,30.2,,
Nature Materials,110,33.0,17.0,110.0,33.0,0.0,0.0,30.0,15.5,33.0,,,30.0,,
Transboundary and Emerging Diseases,234,70.0,4.0,38.0,17.0,196.0,53.0,29.9,1.7,70.0,,,29.9,,
Molecular Psychiatry,303,90.0,60.0,303.0,90.0,0.0,0.0,29.7,19.8,90.0,,,29.7,,
Acta Neuropathologica,168,49.0,13.0,168.0,49.0,0.0,0.0,29.2,7.7,49.0,,,29.2,,
Stem Cell Research & Therapy,606,176.0,17.0,606.0,176.0,0.0,0.0,29.0,2.8,176.0,,,29.0,,
Cell Death and Disease,1170,339.0,37.0,1170.0,339.0,0.0,0.0,29.0,3.2,339.0,,,29.0,,
Leukemia,233,67.0,6.0,232.0,67.0,1.0,0.0,28.8,2.6,67.26442307692308,67.20915153619897,67.32823866478138,28.9,28.845129,28.89624
Plant Direct,122,35.0,15.0,66.0,19.0,56.0,16.0,28.7,12.3,35.121212121212125,35.0,41.75698748072526,28.8,28.688525,34.227039
Annals of Clinical Microbiology and Antimicrobials,133,38.0,2.0,133.0,38.0,0.0,0.0,28.6,1.5,38.0,,,28.6,,
Frontiers in Cellular and Infection Microbiology,1422,402.0,45.0,869.0,311.0,553.0,91.0,28.3,3.2,509.13709677419354,491.8774688971811,527.0873063555712,35.8,34.590539,37.066618
PLoS Medicine,203,57.0,57.0,203.0,57.0,0.0,0.0,28.1,28.1,57.0,,,28.1,,
