journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Human Genetics and Genomics Advances,139,139.0,3.0,3.0,10.0,False,True
European Journal of Clinical Microbiology & Infectious Diseases,139,120.0,118.0,99.0,120.0,False,False
Acta Paediatrica,139,110.0,30.0,1.0,10.0,False,True
BMJ Open Diabetes Research & Care,139,139.0,0.0,0.0,0.0,False,True
PAIN Reports,139,139.0,0.0,0.0,0.0,False,True
Einstein (São Paulo),138,138.0,0.0,0.0,0.0,False,True
Osteoarthritis and Cartilage Open,138,138.0,0.0,0.0,0.0,False,True
Veterinary Research Communications,138,135.0,105.0,102.0,135.0,False,False
JNCI Cancer Spectrum,138,135.0,3.0,0.0,74.0,True,False
PEC Innovation,138,138.0,0.0,0.0,0.0,False,True
Journal of the American Society for Mass Spectrometry,137,137.0,2.0,2.0,15.0,False,True
Turkish Archives of Pediatrics,137,137.0,0.0,0.0,0.0,False,True
Archives of Endocrinology and Metabolism,137,137.0,0.0,0.0,0.0,False,True
Public Health in Practice,137,137.0,0.0,0.0,0.0,False,True
Neurosurgical Review,137,134.0,90.0,87.0,134.0,False,False
International journal of exercise science,137,137.0,0.0,0.0,0.0,False,True
Journal of Integrative Neuroscience,137,5.0,134.0,2.0,2.0,False,True
Industrial Psychiatry Journal,137,137.0,0.0,0.0,0.0,False,True
Neurology and Therapy,137,134.0,108.0,105.0,134.0,False,False
JPGN Reports,136,135.0,19.0,18.0,71.0,True,False
Small Methods,136,120.0,24.0,8.0,42.0,False,True
Journal of Orthopaedic Translation,136,136.0,0.0,0.0,0.0,False,True
ACS Photonics,136,136.0,0.0,0.0,13.0,False,True
Journal of Xenobiotics,135,135.0,20.0,20.0,79.0,True,False
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,135,125.0,116.0,106.0,125.0,False,False
Indian journal of radiology and imaging - new series/Indian journal of radiology and imaging/Indian Journal of Radiology & Imaging,135,134.0,82.0,81.0,101.0,False,False
Epidemiologia e Serviços de Saúde,135,133.0,27.0,25.0,32.0,False,True
IJTLD OPEN,135,135.0,0.0,0.0,0.0,False,True
iMeta,135,135.0,13.0,13.0,81.0,True,False
Vaccine X,135,135.0,0.0,0.0,0.0,False,True
International Journal of Gynecology & Obstetrics,135,103.0,38.0,6.0,19.0,False,True
Current Research in Microbial Sciences,135,135.0,0.0,0.0,0.0,False,True
Qatar medical journal,135,135.0,0.0,0.0,0.0,False,True
Journal of Ethnobiology and Ethnomedicine,134,134.0,103.0,103.0,134.0,False,False
Journal of Diabetes Research,134,134.0,1.0,1.0,28.0,False,True
Virus Evolution,134,134.0,0.0,0.0,83.0,True,False
Health Policy and Planning,133,133.0,0.0,0.0,82.0,True,False
Anais Brasileiros de Dermatologia,133,133.0,0.0,0.0,0.0,False,True
Annals of Clinical Microbiology and Antimicrobials,133,133.0,110.0,110.0,133.0,False,False
The Indian Journal of Medical Research,133,133.0,0.0,0.0,0.0,False,True
Journal of Gynecologic Oncology,132,122.0,116.0,106.0,119.0,False,False
The International Journal of Cardiovascular Imaging,132,117.0,115.0,100.0,117.0,False,False
CVIR Endovascular,132,132.0,96.0,96.0,132.0,False,False
Genetics,132,132.0,0.0,0.0,99.0,True,False
Iranian Journal of Microbiology,132,132.0,0.0,0.0,0.0,False,True
Molecular Brain,132,132.0,92.0,92.0,132.0,False,False
Indian Journal of Plastic Surgery,132,132.0,57.0,57.0,82.0,False,False
Neurotherapeutics,132,132.0,0.0,0.0,0.0,False,True
American Journal of Men s Health,132,132.0,0.0,0.0,29.0,False,True
Journal of Nepal Medical Association,132,132.0,48.0,48.0,48.0,False,True
Database,131,129.0,2.0,0.0,51.0,True,False
British journal of surgery,131,131.0,0.0,0.0,73.0,True,False
Frontiers in Toxicology,131,131.0,52.0,52.0,75.0,False,False
APL Bioengineering,131,131.0,0.0,0.0,0.0,False,True
Journal of Ayub Medical College Abbottabad,131,0.0,131.0,0.0,0.0,False,True
BDJ Open,131,131.0,98.0,98.0,131.0,False,False
United European Gastroenterology Journal,131,128.0,20.0,17.0,72.0,True,False
Neurophotonics,131,131.0,1.0,1.0,1.0,False,True
International Journal of Nursing Studies Advances,131,131.0,0.0,0.0,0.0,False,True
Experimental Brain Research,130,117.0,86.0,73.0,117.0,False,False
CytoJournal,130,130.0,0.0,0.0,0.0,False,True
The Innovation,130,130.0,0.0,0.0,22.0,False,True
Discover Mental Health,130,130.0,73.0,73.0,130.0,False,False
Infectious Disease Modelling,130,130.0,0.0,0.0,0.0,False,True
Audiology Research,130,126.0,25.0,21.0,73.0,True,False
JMIR Serious Games,130,130.0,9.0,9.0,10.0,False,True
Brazilian Journal of Biology,130,0.0,130.0,0.0,0.0,False,True
mAbs,130,130.0,0.0,0.0,64.0,True,False
Journal of Food Science,130,101.0,32.0,3.0,44.0,False,True
Neurospine,130,130.0,71.0,71.0,72.0,False,False
Ecology,130,114.0,18.0,2.0,44.0,False,True
Journal of Diabetes,129,129.0,6.0,6.0,61.0,True,False
AJPM Focus,129,129.0,0.0,0.0,0.0,False,True
ACS Sensors,129,129.0,1.0,1.0,12.0,False,True
AMBIO,129,113.0,117.0,101.0,113.0,False,False
Health Services Research,129,93.0,39.0,3.0,30.0,False,True
Pediatric Reports,129,129.0,17.0,17.0,70.0,True,False
ACS Infectious Diseases,129,128.0,3.0,2.0,19.0,False,True
Nature Ecology & Evolution,129,81.0,104.0,56.0,81.0,False,False
Clinical Rheumatology,128,116.0,96.0,84.0,116.0,False,False
Therapeutic Advances in Neurological Disorders,128,128.0,0.0,0.0,37.0,False,True
International Journal of Obesity,128,109.0,118.0,99.0,109.0,False,False
Hematology Transfusion and Cell Therapy,128,128.0,0.0,0.0,0.0,False,True
International Journal of Retina and Vitreous,128,128.0,84.0,84.0,128.0,False,False
European Heart Journal Open,128,128.0,0.0,0.0,77.0,True,False
South African Family Practice,127,127.0,0.0,0.0,0.0,False,True
BMC Rheumatology,127,127.0,79.0,79.0,127.0,False,False
Archives of Iranian Medicine,127,127.0,1.0,1.0,37.0,False,True
Theoretical and Applied Genetics,127,126.0,98.0,97.0,126.0,False,False
Journal of Oral and Maxillofacial Pathology,126,126.0,0.0,0.0,0.0,False,True
Case Reports in Dentistry,126,126.0,2.0,2.0,27.0,False,True
Tropical Animal Health and Production,126,119.0,81.0,74.0,119.0,False,False
BMJ Neurology Open,126,126.0,0.0,0.0,0.0,False,True
Lasers in Medical Science,126,123.0,85.0,82.0,123.0,False,False
Biochemistry,125,124.0,1.0,0.0,11.0,False,True
The Saudi Dental Journal,125,124.0,10.0,9.0,19.0,False,True
Biology of Sex Differences,125,125.0,97.0,97.0,125.0,False,False
ACS Biomaterials Science & Engineering,125,125.0,0.0,0.0,12.0,False,True
Environmental Health Insights,125,125.0,0.0,0.0,32.0,False,True
Psychophysiology,125,109.0,22.0,6.0,45.0,False,True
Cancer Biology & Therapy,125,125.0,0.0,0.0,62.0,True,False
Brazilian Journal of Cardiovascular Surgery,124,124.0,0.0,0.0,0.0,False,True
Nature Cell Biology,124,99.0,99.0,74.0,99.0,False,False
The Plant Genome,124,113.0,13.0,2.0,45.0,False,True
Environmental Health,124,124.0,95.0,95.0,124.0,False,False
Aesthetic Surgery Journal Open Forum,124,124.0,0.0,0.0,67.0,True,False
Journal of Genetic Engineering and Biotechnology,124,124.0,0.0,0.0,0.0,False,True
Practical Laboratory Medicine,124,124.0,0.0,0.0,0.0,False,True
Biology Letters,124,123.0,1.0,0.0,0.0,False,True
Scientifica,124,124.0,4.0,4.0,27.0,False,True
Conservation Physiology,123,123.0,0.0,0.0,51.0,True,False
Actas Españolas de Psiquiatría,123,123.0,0.0,0.0,0.0,False,True
Bulletin of Mathematical Biology,123,114.0,95.0,86.0,113.0,False,False
Patterns,123,123.0,1.0,1.0,54.0,True,False
Health Economics Review,123,123.0,89.0,89.0,123.0,False,False
The Laryngoscope,123,86.0,40.0,3.0,9.0,False,True
Molecular Therapy,123,122.0,2.0,1.0,20.0,False,True
Pediatric Nephrology,122,107.0,115.0,100.0,107.0,False,False
Plant Direct,122,122.0,11.0,11.0,69.0,True,False
Nature Chemistry,122,81.0,107.0,66.0,81.0,False,False
Neuropsychopharmacology Reports,122,122.0,10.0,10.0,56.0,True,False
Science and Technology of Advanced Materials,122,122.0,0.0,0.0,58.0,True,False
Journal of Pharmaceutical Health Care and Sciences,121,121.0,87.0,87.0,121.0,False,False
Sports Medicine - Open,121,121.0,92.0,92.0,121.0,False,False
BMJ Mental Health,121,121.0,0.0,0.0,0.0,False,True
Frontiers in Bioinformatics,121,121.0,46.0,46.0,76.0,True,False
Annals of Biomedical Engineering,121,110.0,106.0,95.0,110.0,False,False
Cancer Research,121,116.0,5.0,0.0,0.0,False,True
Clinical Practice and Cases in Emergency Medicine,121,121.0,0.0,0.0,0.0,False,True
Arquivos de Neuro-Psiquiatria,121,92.0,83.0,54.0,54.0,False,False
International Ophthalmology,121,121.0,96.0,96.0,121.0,False,False
Knee Surgery Sports Traumatology Arthroscopy,120,87.0,39.0,6.0,27.0,False,True
Journal of Alzheimer s Disease,120,119.0,1.0,0.0,0.0,False,True
Nature Biotechnology,120,47.0,117.0,44.0,47.0,False,True
Infectious Disease Reports,120,120.0,22.0,22.0,74.0,True,False
Movement Ecology,120,120.0,85.0,85.0,120.0,False,False
Non-coding RNA Research,120,120.0,0.0,0.0,0.0,False,True
Journal of the Belgian Society of Radiology,120,120.0,2.0,2.0,2.0,False,True
Biological Research,120,120.0,96.0,96.0,120.0,False,False
Journal of Human Kinetics,120,120.0,0.0,0.0,0.0,False,True
Aesthetic Plastic Surgery,120,104.0,114.0,98.0,104.0,False,False
Infection and Immunity,120,120.0,0.0,0.0,2.0,False,True
Cell Death and Differentiation,120,85.0,113.0,78.0,85.0,False,False
Infectious Diseases of Poverty,120,120.0,77.0,77.0,120.0,False,False
Journal of Taibah University Medical Sciences,120,120.0,0.0,0.0,0.0,False,True
Archives of Dermatological Research,120,116.0,89.0,85.0,116.0,False,False
Social Psychiatry and Psychiatric Epidemiology,120,91.0,114.0,85.0,91.0,False,False
Frontiers in Aging,120,120.0,47.0,47.0,80.0,True,False
Canadian Medical Education Journal,120,118.0,44.0,42.0,51.0,True,False
Pediatric Surgery International,119,114.0,95.0,90.0,114.0,False,False
Journal of Clinical Neurology,119,119.0,98.0,98.0,108.0,False,False
Mediators of Inflammation,119,118.0,2.0,1.0,30.0,False,True
CoDAS,119,119.0,40.0,40.0,46.0,False,True
JOR Spine,119,119.0,8.0,8.0,55.0,True,False
Yonsei Medical Journal,119,119.0,78.0,78.0,119.0,False,False
Journal of Bacteriology,119,119.0,0.0,0.0,0.0,False,True
Journal of Atherosclerosis and Thrombosis,119,114.0,5.0,0.0,0.0,False,True
Annals of Surgical Treatment and Research,119,119.0,83.0,83.0,95.0,False,False
ChemBioChem,119,95.0,25.0,1.0,39.0,False,True
Macromolecules,118,118.0,1.0,1.0,18.0,False,True
Anais da Academia Brasileira de Ciências,118,0.0,118.0,0.0,0.0,False,True
Animal Cognition,118,118.0,86.0,86.0,118.0,False,False
Innovation in Aging,118,118.0,0.0,0.0,73.0,True,False
Interventional Pain Medicine,118,118.0,0.0,0.0,0.0,False,True
Revista Latino-Americana de Enfermagem,118,117.0,18.0,17.0,23.0,False,True
Veterinary and Animal Science,118,118.0,0.0,0.0,0.0,False,True
Journal of Migration and Health,118,118.0,0.0,0.0,0.0,False,True
JCO Precision Oncology,118,117.0,1.0,0.0,0.0,False,True
Case Reports in Women s Health,118,118.0,1.0,1.0,1.0,False,True
Development and Psychopathology,118,4.0,118.0,4.0,4.0,False,True
Physiologia Plantarum,117,102.0,19.0,4.0,37.0,False,True
npj Microgravity,117,117.0,98.0,98.0,117.0,False,False
Drug and Alcohol Dependence Reports,117,117.0,0.0,0.0,0.0,False,True
Epilepsy & Behavior Reports,117,117.0,0.0,0.0,0.0,False,True
Annals of Cardiac Anaesthesia,117,117.0,0.0,0.0,0.0,False,True
Indian Journal of Nuclear Medicine,117,117.0,0.0,0.0,0.0,False,True
Archivos de cardiología de México,117,117.0,1.0,1.0,1.0,False,True
Animal Models and Experimental Medicine,117,117.0,12.0,12.0,56.0,True,False
Molecular and Clinical Oncology,117,110.0,56.0,49.0,74.0,True,False
Japanese Journal of Radiology,117,105.0,110.0,98.0,105.0,False,False
Attention Perception & Psychophysics,116,100.0,98.0,82.0,100.0,False,False
Sexual Medicine,116,116.0,0.0,0.0,48.0,False,True
Rheumatology and Therapy,116,115.0,105.0,104.0,115.0,False,False
JMIR Pediatrics and Parenting,116,116.0,7.0,7.0,10.0,False,True
Antibodies,116,116.0,23.0,23.0,63.0,True,False
OncoTargets and Therapy,116,116.0,38.0,38.0,53.0,True,False
Journal of Materials Science Materials in Medicine,116,116.0,80.0,80.0,116.0,False,False
Environmental Science and Ecotechnology,116,116.0,0.0,0.0,0.0,False,True
Biology Methods and Protocols,116,116.0,0.0,0.0,66.0,True,False
Endocrine,116,106.0,106.0,96.0,106.0,False,False
Journal of Materials Chemistry B,116,44.0,92.0,20.0,25.0,False,True
ChemPhysChem,116,98.0,22.0,4.0,36.0,False,True
Western Journal of Emergency Medicine,115,115.0,0.0,0.0,0.0,False,True
International Journal of Epidemiology,115,115.0,0.0,0.0,55.0,True,False
IUCrJ,115,115.0,0.0,0.0,0.0,False,True
Journal of Sleep Research,115,105.0,19.0,9.0,49.0,False,True
Microbiology,115,115.0,0.0,0.0,0.0,False,True
JMIR Cancer,115,115.0,10.0,10.0,10.0,False,True
Rice,115,115.0,80.0,80.0,115.0,False,False
European Psychiatry,115,108.0,60.0,53.0,59.0,False,False
Environmental Health and Preventive Medicine,115,115.0,8.0,8.0,27.0,False,True
Journal of Pharmaceutical Analysis,115,115.0,0.0,0.0,0.0,False,True
Research Involvement and Engagement,115,115.0,89.0,89.0,115.0,False,False
Journal of Endocrinological Investigation,115,107.0,108.0,100.0,107.0,False,False
Clinical Epidemiology,114,114.0,33.0,33.0,47.0,False,True
Acute Medicine & Surgery,114,114.0,13.0,13.0,52.0,True,False
Journal of Biomedical Science,114,114.0,88.0,88.0,114.0,False,False
Future Healthcare Journal,114,114.0,0.0,0.0,0.0,False,True
Cellular and Molecular Gastroenterology and Hepatology,114,114.0,0.0,0.0,0.0,False,True
Video Journal of Sports Medicine,114,114.0,0.0,0.0,37.0,False,True
Asian Spine Journal,114,114.0,28.0,28.0,31.0,False,True
BMC Immunology,114,114.0,82.0,82.0,114.0,False,False
Faraday Discussions,114,33.0,100.0,19.0,23.0,False,True
Global Heart,114,114.0,31.0,31.0,39.0,False,True
Journal of Genetic Counseling,114,110.0,17.0,13.0,76.0,True,False
Environment & Health,114,114.0,0.0,0.0,17.0,False,True
Annals of Gastroenterological Surgery,114,114.0,14.0,14.0,52.0,True,False
Plant Signaling & Behavior,113,113.0,0.0,0.0,68.0,True,False
Biophysical Journal,113,112.0,1.0,0.0,15.0,False,True
Journal of Radiation Research,113,113.0,0.0,0.0,65.0,True,False
Journal of the American Medical Informatics Association,113,109.0,4.0,0.0,69.0,True,False
Bone and Joint Research,113,113.0,0.0,0.0,1.0,False,True
Palliative & Supportive Care,113,5.0,108.0,0.0,1.0,False,True
GeoHealth,113,113.0,8.0,8.0,60.0,True,False
Obesity Science & Practice,113,113.0,4.0,4.0,53.0,True,False
Strahlentherapie und Onkologie,113,72.0,108.0,67.0,71.0,False,False
Nature Immunology,113,82.0,85.0,54.0,81.0,False,False
Journal of Biological Engineering,112,112.0,78.0,78.0,112.0,False,False
World Neurosurgery X,112,112.0,0.0,0.0,0.0,False,True
Integrative Cancer Therapies,112,112.0,0.0,0.0,34.0,False,True
Health Promotion Journal of Australia,112,104.0,16.0,8.0,50.0,True,False
Addiction Biology,112,112.0,15.0,15.0,75.0,True,False
Social Cognitive and Affective Neuroscience,112,112.0,0.0,0.0,63.0,True,False
Movement Disorders Clinical Practice,112,106.0,19.0,13.0,49.0,False,True
Cell Discovery,112,112.0,81.0,81.0,112.0,False,False
Food Science and Biotechnology,111,11.0,105.0,5.0,11.0,False,True
International Breastfeeding Journal,111,111.0,88.0,88.0,111.0,False,False
JACC Asia,111,111.0,0.0,0.0,0.0,False,True
Psychological Research,111,96.0,92.0,77.0,96.0,False,False
BJGP Open,111,111.0,0.0,0.0,0.0,False,True
Human Reproduction,111,110.0,1.0,0.0,56.0,True,False
Cardio-Oncology,111,111.0,80.0,80.0,111.0,False,False
Frontiers in Big Data,111,111.0,60.0,60.0,73.0,False,False
Joint Diseases and Related Surgery,111,111.0,53.0,53.0,55.0,False,False
Cancer Research and Treatment,110,95.0,59.0,44.0,44.0,False,True
Plant Cell & Environment,110,78.0,34.0,2.0,13.0,False,True
International Orthopaedics,110,107.0,78.0,75.0,107.0,False,False
Frontiers in Ophthalmology,110,110.0,41.0,41.0,66.0,True,False
Oman Journal of Ophthalmology,110,110.0,0.0,0.0,0.0,False,True
Interactive Journal of Medical Research,110,110.0,15.0,15.0,15.0,False,True
Neurology Genetics,110,109.0,1.0,0.0,0.0,False,True
Journal of Microbiology and Biology Education,110,110.0,0.0,0.0,0.0,False,True
Molecular Neurodegeneration,110,110.0,76.0,76.0,110.0,False,False
EJNMMI Radiopharmacy and Chemistry,110,109.0,91.0,90.0,109.0,False,False
Preventing Chronic Disease,110,110.0,0.0,0.0,0.0,False,True
RSC Medicinal Chemistry,110,107.0,45.0,42.0,48.0,False,True
Case Reports in Gastroenterology,110,110.0,1.0,1.0,1.0,False,True
Updates in Surgery,110,82.0,106.0,78.0,82.0,False,False
Nature Materials,110,58.0,98.0,46.0,58.0,True,False
JBJS Open Access,109,109.0,0.0,0.0,0.0,False,True
Environmental Epidemiology,109,109.0,2.0,2.0,3.0,False,True
International Journal of Microbiology,109,109.0,0.0,0.0,16.0,False,True
Autism,109,109.0,0.0,0.0,43.0,False,True
Belitung Nursing Journal,109,109.0,0.0,0.0,0.0,False,True
The Journal of International Advanced Otology,109,109.0,3.0,3.0,23.0,False,True
Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin,109,84.0,106.0,81.0,84.0,False,False
Molecular Ecology,109,94.0,18.0,3.0,50.0,True,False
Therapeutic Advances in Infectious Disease,109,109.0,0.0,0.0,28.0,False,True
European Journal of Orthopaedic Surgery & Traumatology,109,109.0,81.0,81.0,109.0,False,False
Cognitive Neurodynamics,108,24.0,97.0,13.0,24.0,False,True
Bone Research,108,108.0,75.0,75.0,108.0,False,False
NMC Case Report Journal,108,108.0,0.0,0.0,13.0,False,True
Drug Delivery and Translational Research,108,81.0,104.0,77.0,81.0,False,False
Journal of Clinical Immunology,108,104.0,83.0,79.0,104.0,False,False
JSES Reviews Reports and Techniques,108,108.0,0.0,0.0,0.0,False,True
Journal of the Pakistan Medical Association,108,0.0,108.0,0.0,0.0,False,True
Journal of Cancer Survivorship,107,12.0,107.0,12.0,12.0,False,True
npj Genomic Medicine,107,107.0,76.0,76.0,107.0,False,False
International Archives of Otorhinolaryngology,107,107.0,63.0,63.0,81.0,False,False
Acta Cirúrgica Brasileira,107,107.0,34.0,34.0,42.0,False,True
npj Science of Learning,107,107.0,74.0,74.0,107.0,False,False
Clinical Pharmacology & Therapeutics,107,87.0,20.0,0.0,23.0,False,True
International Journal of Neonatal Screening,106,106.0,16.0,16.0,67.0,True,False
Cognitive Research Principles and Implications,106,106.0,80.0,80.0,106.0,False,False
Bioscience Reports,106,106.0,0.0,0.0,0.0,False,True
Health Services Insights,106,106.0,0.0,0.0,25.0,False,True
Clinical Endoscopy,106,102.0,54.0,50.0,62.0,False,False
Journal of Enzyme Inhibition and Medicinal Chemistry,106,106.0,0.0,0.0,41.0,False,True
Journal of the Pediatric Orthopaedic Society of North America,106,106.0,0.0,0.0,0.0,False,True
Endocrinology Diabetes and Metabolism Case Reports,106,106.0,0.0,0.0,0.0,False,True
International Journal of Food Science,105,105.0,4.0,4.0,22.0,False,True
International Journal of Integrated Care,105,105.0,16.0,16.0,18.0,False,True
Revista Brasileira Ginecologia e Obstetrícia,105,105.0,0.0,0.0,0.0,False,True
British Journal of General Practice,105,105.0,0.0,0.0,0.0,False,True
European Heart Journal - Digital Health,105,105.0,0.0,0.0,64.0,True,False
Balkan Medical Journal,105,105.0,1.0,1.0,1.0,False,True
Internet Interventions,105,105.0,0.0,0.0,0.0,False,True
Journal of Veterinary Research,105,105.0,0.0,0.0,0.0,False,True
Organic & Biomolecular Chemistry,105,24.0,89.0,8.0,11.0,False,True
European Journal of Epidemiology,105,96.0,78.0,69.0,96.0,False,False
Macromolecular Rapid Communications,105,82.0,25.0,2.0,15.0,False,True
The Journal of Dermatology,105,101.0,13.0,9.0,55.0,True,False
Crystal Growth & Design,105,105.0,0.0,0.0,7.0,False,True
The Analyst,104,37.0,84.0,17.0,19.0,False,True
National Journal of Maxillofacial Surgery,104,104.0,0.0,0.0,0.0,False,True
Oecologia,104,96.0,77.0,69.0,96.0,False,False
Advances in Interventional Cardiology,104,104.0,31.0,31.0,31.0,False,True
Global Pediatric Health,104,104.0,0.0,0.0,26.0,False,True
Parasite,104,104.0,0.0,0.0,0.0,False,True
Journal of the European Academy of Dermatology and Venereology,104,80.0,37.0,13.0,48.0,False,True
Nature Metabolism,104,73.0,89.0,58.0,73.0,False,False
Blood,104,102.0,5.0,3.0,4.0,False,True
Advances in Dermatology and Allergology,104,104.0,39.0,39.0,41.0,False,True
Journal of Religion and Health,104,91.0,85.0,72.0,91.0,False,False
Genetics Selection Evolution,104,104.0,78.0,78.0,104.0,False,False
Journal of Veterinary Science,104,104.0,77.0,77.0,96.0,False,False
European Journal of Radiology Open,104,104.0,1.0,1.0,1.0,False,True
Revista da Sociedade Brasileira de Medicina Tropical,104,104.0,35.0,35.0,47.0,False,True
Biofilm,104,104.0,0.0,0.0,0.0,False,True
Microchimica Acta,103,96.0,76.0,69.0,96.0,False,False
Epigenetics,103,103.0,0.0,0.0,46.0,False,True
Gut Pathogens,103,103.0,80.0,80.0,103.0,False,False
NMR in Biomedicine,103,90.0,19.0,6.0,45.0,False,True
JCO Global Oncology,103,103.0,0.0,0.0,0.0,False,True
Journal of the Korean Society of Radiology,103,103.0,74.0,74.0,98.0,False,False
International Journal of Reproductive BioMedicine (IJRM),103,103.0,39.0,39.0,62.0,True,False
Journal of Cognition,103,103.0,8.0,8.0,10.0,False,True
Child s Nervous System,102,97.0,84.0,79.0,97.0,False,False
Head & Face Medicine,102,102.0,73.0,73.0,102.0,False,False
Journal of Behavioral Addictions,102,102.0,0.0,0.0,0.0,False,True
Neurotrauma Reports,102,102.0,0.0,0.0,0.0,False,True
Open Respiratory Archives,102,102.0,0.0,0.0,0.0,False,True
Environmental Management,102,92.0,87.0,77.0,92.0,False,False
Journal of Clinical and Translational Hepatology,102,102.0,0.0,0.0,0.0,False,True
BJC Reports,102,102.0,76.0,76.0,102.0,False,False
World Journal of Gastrointestinal Endoscopy,102,102.0,0.0,0.0,0.0,False,True
European Geriatric Medicine,102,91.0,83.0,72.0,91.0,False,False
Veterinary Medicine International,102,102.0,1.0,1.0,25.0,False,True
BMJ Open Gastroenterology,102,102.0,0.0,0.0,0.0,False,True
Pain and Therapy,102,101.0,86.0,85.0,101.0,False,False
Internal and Emergency Medicine,102,89.0,85.0,72.0,89.0,False,False
International Journal of Molecular Medicine,102,102.0,57.0,57.0,75.0,False,False
Indian Journal of Endocrinology and Metabolism,102,102.0,0.0,0.0,0.0,False,True
ALPHA PSYCHIATRY,102,102.0,0.0,0.0,34.0,False,True
British Journal of Clinical Pharmacology,101,78.0,27.0,4.0,14.0,False,True
Journal of Medical Physics,101,101.0,0.0,0.0,0.0,False,True
Kidney Research and Clinical Practice,101,86.0,32.0,17.0,19.0,False,True
Noise and Health,101,101.0,0.0,0.0,0.0,False,True
The Kaohsiung Journal of Medical Sciences,101,101.0,4.0,4.0,51.0,True,False
Journal of Nutritional Science,101,100.0,23.0,22.0,26.0,False,True
Reports of Practical Oncology & Radiotherapy,101,101.0,26.0,26.0,39.0,False,True
Journal of Ophthalmic Inflammation and Infection,101,101.0,68.0,68.0,101.0,False,False
Palliative Care and Social Practice,101,101.0,0.0,0.0,18.0,False,True
Cardiovascular Diagnosis and Therapy,101,101.0,0.0,0.0,0.0,False,True
Accounts of Chemical Research,101,101.0,0.0,0.0,16.0,False,True
Hypertension Research,100,90.0,88.0,78.0,90.0,False,False
International Journal of Immunopathology and Pharmacology,100,100.0,0.0,0.0,19.0,False,True
Reproductive Sciences,100,84.0,85.0,69.0,84.0,False,False
Revista Brasileira de Epidemiologia,100,100.0,25.0,25.0,39.0,False,True
European Thyroid Journal,100,100.0,0.0,0.0,0.0,False,True
JACC Basic to Translational Science,100,100.0,0.0,0.0,0.0,False,True
CASE,100,100.0,0.0,0.0,0.0,False,True
Israel Journal of Health Policy Research,100,100.0,75.0,75.0,100.0,False,False
Scandinavian Journal of Primary Health Care,100,100.0,0.0,0.0,49.0,False,True
Transfusion,100,82.0,22.0,4.0,43.0,False,True
ANZ Journal of Surgery,100,55.0,45.0,0.0,16.0,False,True
The Journals of Gerontology Series A,100,94.0,6.0,0.0,62.0,True,False
Cost Effectiveness and Resource Allocation,99,99.0,75.0,75.0,99.0,False,False
Therapeutic Advances in Respiratory Disease,99,99.0,0.0,0.0,27.0,False,True
Bioinformatics and Biology Insights,99,99.0,0.0,0.0,18.0,False,True
Hernia,99,94.0,70.0,65.0,94.0,False,False
Irish Journal of Medical Science (1971 -),99,89.0,86.0,76.0,89.0,False,False
Sleep And Breathing,99,95.0,70.0,66.0,95.0,False,False
Bone Marrow Transplantation,99,82.0,88.0,71.0,81.0,False,False
Techniques in Coloproctology,99,98.0,56.0,55.0,98.0,False,False
Annals of Vascular Diseases,99,99.0,6.0,6.0,15.0,False,True
The American Journal of Human Genetics,99,95.0,7.0,3.0,40.0,False,True
SiSli Etfal Hastanesi Tip Bulteni / The Medical Bulletin of Sisli Hospital,99,99.0,0.0,0.0,0.0,False,True
Nature Human Behaviour,99,73.0,84.0,58.0,73.0,False,False
Public Health Challenges,99,99.0,0.0,0.0,42.0,False,True
ACS Chemical Biology,99,99.0,2.0,2.0,18.0,False,True
Journal of Nuclear Medicine,99,95.0,4.0,0.0,0.0,False,True
Jornal de Pediatria,99,99.0,0.0,0.0,0.0,False,True
Psychopharmacology,99,78.0,94.0,73.0,78.0,False,False
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,99,99.0,0.0,0.0,0.0,False,True
Bone Reports,98,98.0,0.0,0.0,0.0,False,True
ACS Energy Letters,98,98.0,0.0,0.0,10.0,False,True
Injury Epidemiology,98,98.0,73.0,73.0,98.0,False,False
Conservation Biology,98,90.0,16.0,8.0,40.0,False,True
British Journal of Social Psychology,98,89.0,11.0,2.0,38.0,False,True
Journal of the American Geriatrics Society,98,86.0,13.0,1.0,8.0,False,True
Globalization and Health,98,98.0,70.0,70.0,98.0,False,False
Revista do Instituto de Medicina Tropical de São Paulo,98,98.0,42.0,42.0,52.0,True,False
Movement Disorders,98,77.0,23.0,2.0,24.0,False,True
Primary Health Care Research & Development,98,98.0,32.0,32.0,42.0,False,True
International Journal of Pharmaceutics X,98,98.0,0.0,0.0,0.0,False,True
Journal of Anatomy,98,95.0,11.0,8.0,41.0,False,True
Journal of Medical Cases,98,98.0,0.0,0.0,0.0,False,True
Infection Prevention in Practice,98,98.0,0.0,0.0,0.0,False,True
Clinical and Translational Allergy,98,98.0,6.0,6.0,48.0,False,True
Pediatric Quality and Safety,98,98.0,0.0,0.0,0.0,False,True
The journal of nutrition health & aging,97,97.0,0.0,0.0,0.0,False,True
Clinical Parkinsonism & Related Disorders,97,97.0,0.0,0.0,0.0,False,True
Otolaryngology,97,69.0,30.0,2.0,22.0,False,True
