journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Journal of Medical Internet Research,1416,1416.0,115.0,115.0,125.0,False,False
Journal of Translational Medicine,1409,1409.0,1007.0,1007.0,1409.0,False,False
Antibiotics,1407,1407.0,255.0,255.0,792.0,False,False
PLOS Global Public Health,1405,1404.0,626.0,625.0,703.0,False,False
BMC Psychiatry,1386,1386.0,1013.0,1013.0,1386.0,False,False
Food Chemistry X,1384,1384.0,0.0,0.0,0.0,False,True
Biology,1357,1354.0,223.0,220.0,761.0,False,False
BMC Pregnancy and Childbirth,1345,1345.0,901.0,901.0,1345.0,False,False
Frontiers in Bioengineering and Biotechnology,1342,1342.0,723.0,723.0,935.0,False,False
Cancer Medicine,1318,1318.0,97.0,97.0,527.0,False,False
Frontiers in Neuroscience,1316,1316.0,679.0,679.0,889.0,False,False
BMC Psychology,1309,1309.0,860.0,860.0,1309.0,False,False
Brain Sciences,1307,1306.0,266.0,265.0,764.0,False,False
BMC Geriatrics,1301,1299.0,1009.0,1007.0,1299.0,False,False
Journal of the American Chemical Society,1291,1286.0,5.0,0.0,142.0,True,False
Frontiers in Genetics,1284,1284.0,629.0,629.0,846.0,False,False
Plastic & Reconstructive Surgery Global Open,1245,1245.0,0.0,0.0,0.0,False,True
ACS Applied Materials & Interfaces,1231,1223.0,8.0,0.0,139.0,True,False
Journal of Family Medicine and Primary Care,1228,1228.0,0.0,0.0,0.0,False,True
Journal of Orthopaedic Surgery and Research,1199,1198.0,861.0,860.0,1198.0,False,False
Pathogens,1185,1185.0,301.0,301.0,687.0,False,False
Journal of Surgical Case Reports,1181,1181.0,0.0,0.0,636.0,True,False
Journal of Inflammation Research,1175,1174.0,386.0,385.0,575.0,False,False
Cell Death and Disease,1170,1169.0,840.0,839.0,1169.0,False,False
Microbiology Resource Announcements,1162,1162.0,3.0,3.0,3.0,False,True
Health Science Reports,1145,1145.0,79.0,79.0,527.0,False,False
Studies in health technology and informatics,1144,21.0,1142.0,19.0,20.0,False,True
BMC Pediatrics,1143,1143.0,861.0,861.0,1143.0,False,False
Frontiers in Physiology,1126,1118.0,553.0,545.0,746.0,False,False
Toxics,1125,1124.0,237.0,236.0,650.0,False,False
Journal of Fungi,1092,1090.0,238.0,236.0,622.0,False,False
Annals of Medicine and Surgery,1087,1087.0,0.0,0.0,0.0,False,True
Food Science & Nutrition,1070,1070.0,72.0,72.0,543.0,False,False
PLoS Computational Biology,1064,1063.0,474.0,473.0,1063.0,False,False
Veterinary Sciences,1047,1046.0,187.0,186.0,546.0,False,False
JMIR Formative Research,1045,1045.0,85.0,85.0,89.0,False,False
Journal of Nanobiotechnology,1037,1037.0,737.0,737.0,1037.0,False,False
STAR Protocols,1033,1033.0,4.0,4.0,4.0,False,True
BMC Cardiovascular Disorders,1029,1029.0,756.0,756.0,1029.0,False,False
Alzheimer s & Dementia,996,995.0,76.0,75.0,503.0,False,False
Quantitative Imaging in Medicine and Surgery,988,988.0,0.0,0.0,0.0,False,True
Journal of Personalized Medicine,985,985.0,268.0,268.0,612.0,False,False
Gels,983,977.0,217.0,211.0,577.0,False,False
Biomimetics,979,971.0,210.0,202.0,551.0,False,False
Digital Health,972,972.0,0.0,0.0,172.0,True,False
mBio,965,965.0,13.0,13.0,20.0,False,True
PLoS neglected tropical diseases,950,950.0,406.0,406.0,949.0,False,False
Trials,950,950.0,807.0,807.0,950.0,False,False
Bioinformatics,946,943.0,6.0,3.0,532.0,True,False
BMC Veterinary Research,943,943.0,643.0,643.0,943.0,False,False
PLoS Pathogens,937,937.0,400.0,400.0,936.0,False,False
European journal of medical research,926,926.0,614.0,614.0,926.0,False,False
Royal Society Open Science,916,916.0,0.0,0.0,0.0,False,True
Journal of Cellular and Molecular Medicine,913,913.0,70.0,70.0,459.0,False,False
European Heart Journal - Case Reports,909,909.0,0.0,0.0,542.0,True,False
PeerJ Computer Science,897,897.0,0.0,0.0,0.0,False,True
Briefings in Bioinformatics,895,895.0,1.0,1.0,377.0,True,False
Investigative Ophthalmology & Visual Science,895,895.0,1.0,1.0,1.0,False,True
Open Forum Infectious Diseases,893,890.0,5.0,2.0,561.0,True,False
Journal of Thoracic Disease,891,891.0,0.0,0.0,0.0,False,True
Endoscopy,887,871.0,453.0,437.0,591.0,False,False
BMC Microbiology,874,874.0,593.0,593.0,874.0,False,False
International Journal of Nanomedicine,871,871.0,239.0,239.0,357.0,False,False
World Journal of Clinical Cases,860,860.0,0.0,0.0,0.0,False,True
Metabolites,844,844.0,185.0,185.0,478.0,False,False
Frontiers in Cell and Developmental Biology,842,841.0,433.0,432.0,576.0,False,False
Journal of Cardiothoracic Surgery,838,832.0,728.0,722.0,832.0,False,False
BMC Women s Health,830,830.0,661.0,661.0,830.0,False,False
BMC Pulmonary Medicine,822,822.0,644.0,644.0,822.0,False,False
JACC Case Reports,816,816.0,1.0,1.0,1.0,False,True
International Journal of Surgery,814,814.0,0.0,0.0,0.0,False,True
Journal of Medical Case Reports,809,809.0,629.0,629.0,809.0,False,False
BMC Gastroenterology,802,801.0,480.0,479.0,800.0,False,False
Journal of Clinical Investigation,800,800.0,17.0,17.0,21.0,False,True
BMC Ophthalmology,799,799.0,568.0,568.0,799.0,False,False
Materials Today Bio,795,795.0,0.0,0.0,0.0,False,True
BMC Medicine,788,788.0,584.0,584.0,788.0,False,False
Angewandte Chemie International Edition,785,557.0,258.0,30.0,320.0,True,False
International Journal of General Medicine,777,777.0,264.0,264.0,363.0,False,False
Infection and Drug Resistance,769,769.0,229.0,229.0,318.0,False,False
MethodsX,758,758.0,1.0,1.0,1.0,False,True
JMIR Research Protocols,757,757.0,98.0,98.0,107.0,False,False
Brain and Behavior,756,756.0,36.0,36.0,313.0,True,False
Blood Advances,755,755.0,6.0,6.0,15.0,False,True
Frontiers in Surgery,753,753.0,327.0,327.0,474.0,False,False
Aging,751,748.0,564.0,561.0,602.0,False,False
Journal of Orthopaedic Case Reports,740,740.0,0.0,0.0,0.0,False,True
Biosensors,735,725.0,170.0,160.0,451.0,False,False
Frontiers in Aging Neuroscience,723,723.0,342.0,342.0,476.0,False,False
