funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group
Universität Duisburg-Essen,Germany,115,18,7,15.7,6.1,,F4320325052,False
National Medical Research Council,Singapore,318,50,36,15.7,11.3,government,F4320334737,True
Berlin Institute of Health,Germany,108,17,16,15.7,14.8,,F4320329666,False
Special Project for Research and Development in Key areas of Guangdong Province,China,128,20,8,15.6,6.2,,F4320336405,False
Office of Naval Research,USA,416,65,54,15.6,13.0,,F4320337345,False
Comunidad de Madrid,Spain,355,55,30,15.5,8.5,,F4320313831,False
Institució Catalana de Recerca i Estudis Avançats,Spain,103,16,10,15.5,9.7,,F4320322121,False
University of Hong Kong,Hong Kong,129,20,12,15.5,9.3,,F4320322170,False
Carl Tryggers Stiftelse för Vetenskaplig Forskning,Sweden,110,17,14,15.5,12.7,,F4320321501,False
Astellas Pharma,Japan,155,24,13,15.5,8.4,,F4320323024,False
Université de Genève,Switzerland,265,41,19,15.5,7.2,,F4320323830,False
University of Bern,Switzerland,338,52,34,15.4,10.1,,F4320310992,False
Natural Science Foundation of Ningxia Province,China,136,21,4,15.4,2.9,,F4320322877,False
Japan Society for the Promotion of Science London,UK,208,32,16,15.4,7.7,,F4320320212,False
Natural Science Foundation of Fujian Province,China,793,122,23,15.4,2.9,,F4320321878,False
"National Agency for Scientific and Technological Promotion (ANPCyT, Argentina)",AR,262,40,12,15.3,4.6,,F4320334832,False
"Department of Science and Technology, Ministry of Science and Technology, India",India,398,61,19,15.3,4.8,,F4320320719,False
Science Foundation Ireland,Ireland,673,103,72,15.3,10.7,,F4320320847,False
"National Research, Development and Innovation Office (Hungary)",HU,428,65,29,15.2,6.8,,F4320326762,False
Hungarian Academy of Sciences,HU,343,52,31,15.2,9.0,,F4320322192,False
Università di Bologna,Italy,112,17,10,15.2,8.9,,F4320323553,False
Health Canada,Canada,152,23,15,15.1,9.9,,F4320334392,False
Japan Society for the Promotion of Science,Japan,6680,1009,376,15.1,5.6,government,F4320334764,True
NIH Clinical Center,USA,166,25,13,15.1,7.8,,F4320337376,False
Zagazig University,EG,172,26,6,15.1,3.5,,F4320324156,False
"Ministry of Science, Innovation and Universities (Spain)",Spain,1003,151,71,15.1,7.1,,F4320315062,False
Shandong University,China,218,33,8,15.1,3.7,,F4320311026,False
"Faculty of Medicine and Health, University of Sydney",Australia,140,21,13,15.0,9.3,,F4320337083,False
McMaster University,Canada,113,17,16,15.0,14.2,,F4320311526,False
Natural Science Foundation of Nantong City,China,120,18,3,15.0,2.5,,F4320316882,False
Canada Foundation for Innovation,Canada,207,31,25,15.0,12.1,,F4320319952,False
Servier,France,289,43,36,14.9,12.5,,F4320327235,False
University of Edinburgh,UK,101,15,18,14.9,17.8,,F4320320332,False
"Ministry of Education, Culture, Sports, Science and Technology",Japan,1133,168,71,14.8,6.3,government,F4320320912,True
Higher Education Discipline Innovation Project,China,284,42,14,14.8,4.9,,F4320327912,False
EU Joint Programme – Neurodegenerative Disease Research,Belgium,162,24,22,14.8,13.6,,F4320314158,False
Universität Basel,Switzerland,304,45,33,14.8,10.9,,F4320310466,False
University of Pretoria,South Africa,122,18,7,14.8,5.7,,F4320320692,False
Italian Ministry,Italy,1999,295,98,14.8,4.9,government,F4320321781,True
Guangxi Natural Science Foundation,China,300,44,9,14.7,3.0,government,F4320322768,True
Sichuan University,China,416,61,15,14.7,3.6,,F4320322990,False
U.S. Environmental Protection Agency,USA,156,23,26,14.7,16.7,,F4320306107,False
Philipps-Universität Marburg,Germany,191,28,18,14.7,9.4,,F4320310905,False
Universidade de São Paulo,Brazil,109,16,8,14.7,7.3,,F4320323339,False
Universitetet i Oslo,Norway,309,45,30,14.6,9.7,,F4320323260,False
Shenzhen Science and Technology Innovation Program,China,151,22,4,14.6,2.6,,F4320336569,False
"Foreign, Commonwealth and Development Office",UK,240,35,23,14.6,9.6,,F4320330760,False
Youth Innovation Promotion Association of the Chinese Academy of Sciences,China,309,45,21,14.6,6.8,,F4320322847,False
GlaxoSmithKline,UK,309,45,32,14.6,10.4,,F4320307773,False
Chinese University of Hong Kong,Hong Kong,157,23,17,14.6,10.8,,F4320322942,False
Peking University,China,492,72,34,14.6,6.9,,F4320324787,False
