funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",USA,2465,596,165,24.2,6.7,,F4320309123,False,824,1641,5215,596.0,24.2,24.2,24.2
Leidos,USA,264,64,27,24.2,10.2,,F4320315952,False,72,192,858,64.0,24.2,24.2,24.2
Stazione Zoologica Anton Dohrn,Italy,165,40,8,24.2,4.8,,F4320326571,False,10,155,551,40.0,24.2,24.2,24.2
"Aard- en Levenswetenschappen, Nederlandse Organisatie voor Wetenschappelijk Onderzoek",Netherlands,104,25,9,24.0,8.7,,F4320328233,False,2,102,502,25.0,24.0,24.0,24.0
"Institute of Biophysics, Chinese Academy of Sciences",China,338,81,9,24.0,2.7,,F4320336256,False,12,326,779,81.0,24.0,24.0,24.0
Francis Crick Institute,UK,1976,475,224,24.0,11.3,government,F4320312060,True,92,1884,7292,475.0,24.0,24.0,24.0
Salt Science Research Foundation,Japan,785,188,6,23.9,0.8,,F4320311436,False,41,744,3302,188.0,23.9,23.9,23.9
Central European Institute of Technology,Czech Republic,614,147,20,23.9,3.3,,F4320323870,False,29,585,3106,147.0,23.9,23.9,23.9
Institute for Research in Biomedicine,Spain,251,60,24,23.9,9.6,,F4320309991,False,8,243,776,60.0,23.9,23.9,23.9
Nanjing Agricultural University,China,856,205,27,23.9,3.2,,F4320325211,False,55,801,3029,205.0,23.9,23.9,23.9
China Agricultural University,China,1706,407,45,23.9,2.6,,F4320321131,False,95,1611,6354,407.0,23.9,23.9,23.9
Sociedad Española de Enfermedades Infecciosas y Microbiología Clínica,Spain,117,28,5,23.9,4.3,,F4320329145,False,7,110,359,28.0,23.9,23.9,23.9
Institut Pasteur,France,482,115,46,23.9,9.5,,F4320322141,False,21,461,1226,115.0,23.9,23.9,23.9
Laboratório Nacional de Luz Síncrotron,Brazil,159,38,2,23.9,1.3,,F4320335749,False,1,158,3210,38.0,23.9,23.9,23.9
Bloodwise,UK,260,62,17,23.8,6.5,,F4320324760,False,5,255,367,62.0,23.8,23.8,23.8
Indian Council of Agricultural Research,India,2291,545,58,23.8,2.5,,F4320320769,False,110,2181,21520,545.0,23.8,23.8,23.8
LEO Fondet,Denmark,189,45,19,23.8,10.1,,F4320327561,False,8,181,873,45.0,23.8,23.8,23.8
Genome Prairie,Canada,126,30,8,23.8,6.3,,F4320326647,False,0,126,379,30.0,23.8,23.8,23.8
Centro Nacional de Pesquisa em Energia e Materiais,Brazil,181,43,6,23.8,3.3,,F4320327334,False,4,177,1047,43.0,23.8,23.8,23.8
"Centre for Environment, Fisheries and Aquaculture Science",UK,151,36,9,23.8,6.0,,F4320313604,False,6,145,1467,36.0,23.8,23.8,23.8
Hebei Agricultural University,China,190,45,2,23.7,1.1,,F4320327483,False,12,178,715,45.0,23.7,23.7,23.7
Shenyang Agricultural University,China,174,41,2,23.6,1.1,,F4320325180,False,3,171,711,41.0,23.6,23.6,23.6
"Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,119,28,0,23.5,0.0,,F4320335615,False,7,112,214,28.0,23.5,23.5,23.5
"FP7 Food, Agriculture and Fisheries, Biotechnology",,922,217,58,23.5,6.3,,F4320338366,False,3,919,3063,217.0,23.5,23.5,23.5
"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Mexico,115,27,7,23.5,6.1,,F4320327174,False,1,114,908,27.0,23.5,23.5,23.5
