funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
Washington State University,USA,1135,195,38,17.2,3.3,,F4320309913,False,32,1103,14108,195.0,17.2,17.2,17.2
Österreichischen Akademie der Wissenschaften,Austria,1120,193,86,17.2,7.7,,F4320321004,False,61,1059,6832,193.0,17.2,17.2,17.2
Innovation Scientists and Technicians Troop Construction Projects of Henan Province,China,116,20,0,17.2,0.0,,F4320327776,False,3,113,908,20.0,17.2,17.2,17.2
Center for Bioenergy Innovation,USA,151,26,13,17.2,8.6,,F4320337801,False,2,149,386,26.0,17.2,17.2,17.2
Oregon Health and Science University,USA,688,118,59,17.2,8.6,,F4320309233,False,33,655,2653,118.0,17.2,17.2,17.2
John Templeton Foundation,USA,1503,259,155,17.2,10.3,government,F4320306193,True,81,1422,11373,259.0,17.2,17.2,17.2
International AIDS Vaccine Initiative,USA,500,86,21,17.2,4.2,,F4320306138,False,19,481,1198,86.0,17.2,17.2,17.2
"National Commission for Science, Technology and Innovation",KE,122,21,3,17.2,2.5,,F4320323466,False,6,116,887,21.0,17.2,17.2,17.2
Chicago Community Trust,USA,163,28,9,17.2,5.5,,F4320306278,False,1,162,851,28.0,17.2,17.2,17.2
National Centre for Earth Observation,UK,609,105,90,17.2,14.8,,F4320338155,False,101,508,1427,105.0,17.2,17.2,17.2
New Zealand Government,New Zealand,163,28,11,17.2,6.7,,F4320316156,False,7,156,2213,28.0,17.2,17.2,17.2
Oregon National Primate Research Center,USA,209,36,8,17.2,3.8,,F4320332635,False,13,196,912,36.0,17.2,17.2,17.2
Canon Foundation in Europe,Netherlands,180,31,5,17.2,2.8,,F4320308341,False,7,173,921,31.0,17.2,17.2,17.2
University of Chicago,USA,1704,292,116,17.1,6.8,,F4320309626,False,51,1653,20956,292.0,17.1,17.1,17.1
European Maritime and Fisheries Fund,,245,42,12,17.1,4.9,,F4320337808,False,22,223,1833,42.0,17.1,17.1,17.1
Alliance Nationale pour les Sciences de la Vie et de la Santé,France,158,27,13,17.1,8.2,,F4320319344,False,8,150,442,27.0,17.1,17.1,17.1
"Bundesministerium für Verbraucherschutz, Ernährung und Landwirtschaft",Germany,117,20,3,17.1,2.6,,F4320331007,False,1,116,770,20.0,17.1,17.1,17.1
"Irish Research Council for Science, Engineering and Technology",Ireland,321,55,7,17.1,2.2,,F4320320842,False,4,317,3190,55.0,17.1,17.1,17.1
Cure Brain Cancer Foundation,Australia,164,28,4,17.1,2.4,,F4320324006,False,3,161,413,28.0,17.1,17.1,17.1
Université de Poitiers,France,146,25,5,17.1,3.4,,F4320331578,False,5,141,1079,25.0,17.1,17.1,17.1
Provincia autonoma di Bolzano - Alto Adige,Italy,140,24,13,17.1,9.3,,F4320328864,False,7,133,883,24.0,17.1,17.1,17.1
Swedish e-Science Research Centre,Sweden,152,26,32,17.1,21.1,,F4320317161,False,4,148,519,26.0,17.1,17.1,17.1
Helmholtz Association,Germany,928,159,136,17.1,14.7,government,F4320325698,True,72,856,3587,159.0,17.1,17.1,17.1
Yunnan University,China,428,73,15,17.1,3.5,,F4320324731,False,19,409,3193,73.0,17.1,17.1,17.1
Natural Science Foundation of Qinghai,China,211,36,2,17.1,0.9,,F4320335921,False,9,202,1679,36.0,17.1,17.1,17.1
FP7 Research Potential of Convergence Regions,,304,52,10,17.1,3.3,,F4320338351,False,3,301,1491,52.0,17.1,17.1,17.1
Centro de Investigación Biomédica en Red de Cáncer,Spain,409,70,18,17.1,4.4,,F4320328325,False,30,379,950,70.0,17.1,17.1,17.1
"Secretaría Nacional de Ciencia, Tecnología e Innovación",PA,164,28,10,17.1,6.1,,F4320324129,False,3,161,585,28.0,17.1,17.1,17.1
Ciência sem Fronteiras,Brazil,599,102,26,17.0,4.3,,F4320336557,False,4,595,3390,102.0,17.0,17.0,17.0
Université François-Rabelais,France,106,18,2,17.0,1.9,,F4320324510,False,2,104,581,18.0,17.0,17.0,17.0
L'Oreal USA,USA,277,47,16,17.0,5.8,,F4320308251,False,9,268,1288,47.0,17.0,17.0,17.0
"Department for Environment, Food and Rural Affairs, UK Government",UK,1476,251,55,17.0,3.7,,F4320319995,False,28,1448,10820,251.0,17.0,17.0,17.0
"Cancer Center, University of Colorado",USA,277,47,21,17.0,7.6,,F4320333552,False,11,266,1194,47.0,17.0,17.0,17.0
Infrastruktura PL-Grid,Poland,312,53,12,17.0,3.8,,F4320326815,False,13,299,2287,53.0,17.0,17.0,17.0
"Ministerie van Landbouw, Natuur en Voedselkwaliteit",Netherlands,271,46,14,17.0,5.2,,F4320328182,False,17,254,1481,46.0,17.0,17.0,17.0
New York University Abu Dhabi,AE,376,64,32,17.0,8.5,,F4320313203,False,19,357,2177,64.0,17.0,17.0,17.0
Indiana University Bloomington,USA,112,19,8,17.0,7.1,,F4320332953,False,8,104,976,19.0,17.0,17.0,17.0
Children's Cancer and Leukaemia Group,UK,153,26,13,17.0,8.5,,F4320312932,False,4,149,373,26.0,17.0,17.0,17.0
American Asthma Foundation,USA,154,26,9,16.9,5.8,,F4320310870,False,1,153,540,26.0,16.9,16.9,16.9
Agence Nationale de la Recherche,France,28267,4788,1953,16.9,6.9,government,F4320320883,True,1188,27079,175871,4788.0,16.9,16.9,16.9
Kennedy Trust for Rheumatology Research,UK,130,22,14,16.9,10.8,,F4320316694,False,3,127,293,22.0,16.9,16.9,16.9
Advance Queensland,Australia,172,29,14,16.9,8.1,,F4320335344,False,8,164,779,29.0,16.9,16.9,16.9
Chinese Academy of Sciences,China,18034,3040,495,16.9,2.7,,F4320321133,False,562,17472,162479,3040.0,16.9,16.9,16.9
Fisheries and Oceans Canada,Canada,354,60,29,16.9,8.2,,F4320334596,False,19,335,4487,60.0,16.9,16.9,16.9
Royal Society Te Apārangi,New Zealand,996,168,84,16.9,8.4,,F4320320774,False,39,957,6983,168.0,16.9,16.9,16.9
Vienna Science and Technology Fund,Austria,880,149,84,16.9,9.5,,F4320321003,False,38,842,3498,149.0,16.9,16.9,16.9
"Center for Companion Animal Health, University of California, Davis",USA,160,27,1,16.9,0.6,,F4320337885,False,5,155,428,27.0,16.9,16.9,16.9
"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill",USA,248,42,11,16.9,4.4,,F4320337594,False,16,232,1273,42.0,16.9,16.9,16.9
Servicio Gallego de Salud,China,130,22,4,16.9,3.1,,F4320336701,False,26,104,339,22.0,16.9,16.9,16.9
University of Montana,USA,213,36,23,16.9,10.8,,F4320310589,False,7,206,5831,36.0,16.9,16.9,16.9
Jane ja Aatos Erkon Säätiö,Finland,1434,242,85,16.9,5.9,,F4320322282,False,86,1348,4156,242.0,16.9,16.9,16.9
Centre for Medical Systems Biology,Netherlands,191,32,14,16.8,7.3,,F4320328608,False,7,184,515,32.0,16.8,16.8,16.8
West Light Foundation of the Chinese Academy of Sciences,China,286,48,14,16.8,4.9,,F4320328015,False,8,278,2630,48.0,16.8,16.8,16.8
Government of Western Australia,Australia,292,49,33,16.8,11.3,,F4320326768,False,12,280,2466,49.0,16.8,16.8,16.8
Boston Children's Hospital,USA,238,40,11,16.8,4.6,,F4320309356,False,11,227,840,40.0,16.8,16.8,16.8
Mizutani Foundation for Glycoscience,Japan,191,32,0,16.8,0.0,,F4320311371,False,5,186,996,32.0,16.8,16.8,16.8
Oncosuisse,Switzerland,161,27,6,16.8,3.7,,F4320322445,False,1,160,676,27.0,16.8,16.8,16.8
Institut de Recherche pour le Développement,France,494,83,16,16.8,3.2,,F4320313932,False,23,471,3344,83.0,16.8,16.8,16.8
"College of Science and Engineering, University of Minnesota",USA,137,23,14,16.8,10.2,,F4320332748,False,8,129,1143,23.0,16.8,16.8,16.8
Humboldt-Universität zu Berlin,Germany,477,80,55,16.8,11.5,,F4320323700,False,41,436,2828,80.0,16.8,16.8,16.8
"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica",PE,279,47,13,16.8,4.7,,F4320326614,False,19,260,1619,47.0,16.8,16.8,16.8
QIMR Berghofer Medical Research Institute,Australia,458,77,29,16.8,6.3,,F4320314063,False,18,440,1376,77.0,16.8,16.8,16.8
Université de Paris,France,380,64,25,16.8,6.6,,F4320331438,False,23,357,2273,64.0,16.8,16.8,16.8
University of Oregon,USA,388,65,34,16.8,8.8,,F4320312726,False,10,378,5884,65.0,16.8,16.8,16.8
Fondation Innovations en Infectiologie,France,137,23,4,16.8,2.9,,F4320310691,False,4,133,316,23.0,16.8,16.8,16.8
"Directorate for Social, Behavioral and Economic Sciences",USA,137,23,18,16.8,13.1,,F4320332173,False,9,128,977,23.0,16.8,16.8,16.8
Loyola University Chicago,USA,226,38,11,16.8,4.9,,F4320309973,False,9,217,1446,38.0,16.8,16.8,16.8
"Direcció General de Recerca, Generalitat de Catalunya",Spain,113,19,11,16.8,9.7,,F4320338223,False,8,105,1869,19.0,16.8,16.8,16.8
Claude Leon Foundation,South Africa,179,30,8,16.8,4.5,,F4320320686,False,2,177,1092,30.0,16.8,16.8,16.8
American Lebanese Syrian Associated Charities,USA,1012,170,66,16.8,6.5,,F4320313598,False,51,961,5998,170.0,16.8,16.8,16.8
Institut Universitaire de France,France,762,128,43,16.8,5.6,,F4320322893,False,32,730,5921,128.0,16.8,16.8,16.8
Università degli Studi di Trento,Italy,390,65,39,16.7,10.0,,F4320322275,False,36,354,3032,65.0,16.7,16.7,16.7
Ettevõtluse Arendamise Sihtasutus,EE,102,17,5,16.7,4.9,,F4320323985,False,0,102,393,17.0,16.7,16.7,16.7
Prostate Cancer Foundation,USA,1102,184,69,16.7,6.3,government,F4320306163,True,53,1049,4062,184.0,16.7,16.7,16.7
Eötvös Loránd Tudományegyetem,HU,480,80,43,16.7,9.0,,F4320326124,False,67,413,3334,80.0,16.7,16.7,16.7
CurePSP,USA,114,19,12,16.7,10.5,,F4320310601,False,10,104,380,19.0,16.7,16.7,16.7
"Nutrition Obesity Research Center, University of North Carolina",USA,293,49,5,16.7,1.7,,F4320333059,False,8,285,1452,49.0,16.7,16.7,16.7
"School of Life Sciences and Biotechnology Division of Life Sciences, Korea University",Korea,120,20,4,16.7,3.3,,F4320337149,False,4,116,594,20.0,16.7,16.7,16.7
AFM-Téléthon,France,353,59,20,16.7,5.7,,F4320323001,False,23,330,562,59.0,16.7,16.7,16.7
"Ministry of Environment, Forest and Climate Change",India,108,18,5,16.7,4.6,,F4320324763,False,2,106,1098,18.0,16.7,16.7,16.7
University of Texas at Austin,USA,916,153,90,16.7,9.8,,F4320310620,False,32,884,14096,153.0,16.7,16.7,16.7
Amt der NÖ Landesregierung,Austria,169,28,9,16.6,5.3,,F4320315537,False,10,159,659,28.0,16.6,16.6,16.6
Novo Nordisk Foundation,Denmark,6865,1143,613,16.6,8.9,government,F4320325957,True,450,6415,22765,1143.0,16.6,16.6,16.6
Centro Nacional de Investigaciones Cardiovasculares,Spain,434,72,16,16.6,3.7,,F4320323479,False,23,411,1747,72.0,16.6,16.6,16.6
Advanced Scientific Computing Research,USA,320,53,31,16.6,9.7,,F4320337506,False,13,307,6608,53.0,16.6,16.6,16.6
Natural Science Foundation of Yunnan Province,China,495,82,14,16.6,2.8,,F4320323193,False,15,480,3691,82.0,16.6,16.6,16.6
Cystic Fibrosis Canada,Canada,296,49,14,16.6,4.7,,F4320319899,False,2,294,922,49.0,16.6,16.6,16.6
University of the Philippines,PH,296,49,13,16.6,4.4,,F4320324410,False,8,288,2879,49.0,16.6,16.6,16.6
Danmarks Frie Forskningsfond,Denmark,627,104,60,16.6,9.6,,F4320327387,False,61,566,14610,104.0,16.6,16.6,16.6
Klaus Tschira Stiftung,Germany,416,69,57,16.6,13.7,,F4320324316,False,18,398,1895,69.0,16.6,16.6,16.6
Huntsman Cancer Institute,USA,351,58,26,16.5,7.4,,F4320312218,False,18,333,1305,58.0,16.5,16.5,16.5
"Vanderbilt Digestive Diseases Research Center, Vanderbilt University Medical Center",USA,115,19,4,16.5,3.5,,F4320334532,False,5,110,368,19.0,16.5,16.5,16.5
United States - Israel Binational Science Foundation,Israel,454,75,43,16.5,9.5,,F4320308960,False,35,419,2428,75.0,16.5,16.5,16.5
Universidad Austral de Chile,CL,127,21,2,16.5,1.6,,F4320326059,False,2,125,1173,21.0,16.5,16.5,16.5
Parker Institute for Cancer Immunotherapy,USA,334,55,31,16.5,9.3,,F4320315119,False,20,314,1284,55.0,16.5,16.5,16.5
Zentrum für Regenerative Therapien Dresden,Germany,182,30,7,16.5,3.8,,F4320324476,False,2,180,530,30.0,16.5,16.5,16.5
Qinghai Provincial Department of Science and Technology,China,133,22,1,16.5,0.8,,F4320327085,False,9,124,668,22.0,16.5,16.5,16.5
Saskatchewan Pulse Growers,Canada,103,17,7,16.5,6.8,,F4320314113,False,2,101,645,17.0,16.5,16.5,16.5
"Office of Extramural Research, National Institutes of Health",USA,896,147,50,16.4,5.6,,F4320337544,False,68,828,2034,147.0,16.4,16.4,16.4
National Key Research and Development Program of China Stem Cell and Translational Research,China,694,114,21,16.4,3.0,,F4320336026,False,8,686,11169,114.0,16.4,16.4,16.4
Southwest Minzu University,China,128,21,3,16.4,2.3,,F4320330122,False,11,117,859,21.0,16.4,16.4,16.4
University of California Berkeley,USA,433,71,52,16.4,12.0,,F4320309411,False,11,422,5038,71.0,16.4,16.4,16.4
Major Scientific and Technological Project of Zhejiang Province,China,140,23,5,16.4,3.6,,F4320338467,False,16,124,354,23.0,16.4,16.4,16.4
Nanjing Normal University,China,152,25,1,16.4,0.7,,F4320310902,False,2,150,1405,25.0,16.4,16.4,16.4
Secom Science and Technology Foundation,Japan,152,25,7,16.4,4.6,,F4320322525,False,9,143,627,25.0,16.4,16.4,16.4
French Muscular Dystrophy Association,France,293,48,22,16.4,7.5,,F4320314289,False,10,283,494,48.0,16.4,16.4,16.4
Breast Cancer Research Foundation,USA,1808,297,131,16.4,7.2,government,F4320306260,True,131,1677,5868,297.0,16.4,16.4,16.4
Holsworth Wildlife Research Endowment,Australia,299,49,10,16.4,3.3,,F4320310326,False,9,290,1629,49.0,16.4,16.4,16.4
Biomedical Research Council,Singapore,1152,189,55,16.4,4.8,,F4320335846,False,27,1125,4250,189.0,16.4,16.4,16.4
Diabetes Research and Wellness Foundation,UK,166,27,8,16.3,4.8,,F4320319991,False,3,163,407,27.0,16.3,16.3,16.3
Animal Health and Veterinary Laboratories Agency,UK,129,21,3,16.3,2.3,,F4320334787,False,0,129,343,21.0,16.3,16.3,16.3
Nancy Lurie Marks Family Foundation,USA,147,24,12,16.3,8.2,,F4320309786,False,5,142,459,24.0,16.3,16.3,16.3
Universiteit Gent,Belgium,2842,463,171,16.3,6.0,,F4320322603,False,107,2735,19381,463.0,16.3,16.3,16.3
National Institute of Immunology,India,227,37,5,16.3,2.2,,F4320327259,False,1,226,806,37.0,16.3,16.3,16.3
Bio-oriented Technology Research Advancement Institution,Japan,447,73,8,16.3,1.8,,F4320335209,False,15,432,2230,73.0,16.3,16.3,16.3
Obihiro University of Agriculture and Veterinary Medicine,Japan,104,17,1,16.3,1.0,,F4320317025,False,1,103,539,17.0,16.3,16.3,16.3
Université Paris-Est Créteil Val-de-Marne,France,123,20,4,16.3,3.3,,F4320325746,False,9,114,801,20.0,16.3,16.3,16.3
Ono Medical Research Foundation,Japan,221,36,9,16.3,4.1,,F4320325284,False,12,209,820,36.0,16.3,16.3,16.3
"Center for Strategic Scientific Initiatives, National Cancer Institute",USA,104,17,5,16.3,4.8,,F4320310678,False,10,94,326,17.0,16.3,16.3,16.3
Cure Cancer Australia Foundation,Australia,123,20,8,16.3,6.5,,F4320320549,False,2,121,481,20.0,16.3,16.3,16.3
Walter Reed Army Institute of Research,USA,215,35,9,16.3,4.2,,F4320338325,False,15,200,634,35.0,16.3,16.3,16.3
Israel Institute for Biological Research,Israel,105,17,7,16.2,6.7,,F4320330987,False,4,101,314,17.0,16.2,16.2,16.2
Tertiary Education Commission,New Zealand,173,28,6,16.2,3.5,,F4320310144,False,1,172,1438,28.0,16.2,16.2,16.2
Miljø- og Fødevareministeriet,Denmark,105,17,6,16.2,5.7,,F4320326785,False,3,102,617,17.0,16.2,16.2,16.2
Højteknologifonden,Denmark,111,18,5,16.2,4.5,,F4320310665,False,0,111,843,18.0,16.2,16.2,16.2
Murdoch University,Australia,456,74,16,16.2,3.5,,F4320320989,False,18,438,4265,74.0,16.2,16.2,16.2
Norway Grants,Belgium,136,22,7,16.2,5.1,,F4320335197,False,9,127,966,22.0,16.2,16.2,16.2
"Austrian Federal Ministry of Economy, Family and Youth",Austria,130,21,6,16.2,4.6,,F4320315059,False,1,129,684,21.0,16.2,16.2,16.2
École Polytechnique Fédérale de Lausanne,Switzerland,1553,251,152,16.2,9.8,,F4320320915,False,87,1466,12125,251.0,16.2,16.2,16.2
Vanderbilt-Ingram Cancer Center,USA,272,44,14,16.2,5.1,,F4320309601,False,13,259,1147,44.0,16.2,16.2,16.2
Kasetsart University,Thailand,587,95,6,16.2,1.0,,F4320322722,False,33,554,4622,95.0,16.2,16.2,16.2
Universität Osnabrück,Germany,142,23,11,16.2,7.7,,F4320329560,False,15,127,595,23.0,16.2,16.2,16.2
Centre National de la Recherche Scientifique,France,12941,2096,597,16.2,4.6,government,F4320322892,True,365,12576,147508,2096.0,16.2,16.2,16.2
Pelotonia,USA,198,32,13,16.2,6.6,,F4320316230,False,6,192,695,32.0,16.2,16.2,16.2
Science and Technology Innovation Talents in Universities of Henan Province,China,228,37,3,16.2,1.3,,F4320336613,False,23,205,1520,37.0,16.2,16.2,16.2
Boehringer Ingelheim Stiftung,Germany,322,52,15,16.1,4.7,,F4320325136,False,11,311,1198,52.0,16.1,16.1,16.1
International Centre for Genetic Engineering and Biotechnology,Italy,322,52,9,16.1,2.8,,F4320320901,False,8,314,1191,52.0,16.1,16.1,16.1
March of Dimes Foundation,USA,1309,211,72,16.1,5.5,,F4320306182,False,24,1285,8843,211.0,16.1,16.1,16.1
California NanoSystems Institute,USA,224,36,17,16.1,7.6,,F4320337965,False,11,213,1370,36.0,16.1,16.1,16.1
Kanae Foundation for the Promotion of Medical Science,Japan,298,48,10,16.1,3.4,,F4320325449,False,7,291,1179,48.0,16.1,16.1,16.1
Indo-French Centre for the Promotion of Advanced Research,India,205,33,6,16.1,2.9,,F4320321027,False,5,200,2859,33.0,16.1,16.1,16.1
"University of Nevada, Reno",USA,174,28,7,16.1,4.0,,F4320312725,False,5,169,1598,28.0,16.1,16.1,16.1
"College of Medicine, Drexel University",USA,143,23,2,16.1,1.4,,F4320332642,False,4,139,622,23.0,16.1,16.1,16.1
Ellison Medical Foundation,USA,778,125,47,16.1,6.0,,F4320306135,False,11,767,3203,125.0,16.1,16.1,16.1
Bhabha Atomic Research Centre,India,236,38,3,16.1,1.3,,F4320334966,False,12,224,6567,38.0,16.1,16.1,16.1
Bioenergy Technologies Office,USA,161,26,5,16.1,3.1,,F4320337708,False,8,153,1282,26.0,16.1,16.1,16.1
Svenska Forskningsrådet Formas,Sweden,4735,762,275,16.1,5.8,,F4320321033,False,183,4552,30379,762.0,16.1,16.1,16.1
University of Calcutta,India,211,34,9,16.1,4.3,,F4320321479,False,0,211,2885,34.0,16.1,16.1,16.1
DOD Peer Reviewed Cancer Research Program,USA,187,30,17,16.0,9.1,,F4320338488,False,16,171,581,30.0,16.0,16.0,16.0
Sidney Kimmel Comprehensive Cancer Center,USA,119,19,10,16.0,8.4,,F4320333181,False,14,105,482,19.0,16.0,16.0,16.0
Wildlife Conservation Society,USA,405,65,23,16.0,5.7,,F4320308866,False,20,385,3743,65.0,16.0,16.0,16.0
Government of Canada,Canada,1530,245,98,16.0,6.4,,F4320319880,False,93,1437,13441,245.0,16.0,16.0,16.0
ShanghaiTech University,China,393,63,17,16.0,4.3,,F4320327675,False,30,363,2031,63.0,16.0,16.0,16.0
"Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology",USA,832,133,55,16.0,6.6,,F4320316943,False,31,801,2376,133.0,16.0,16.0,16.0
Stanford Bio-X,USA,413,66,54,16.0,13.1,,F4320333063,False,14,399,2238,66.0,16.0,16.0,16.0
Arizona Department of Health Services,USA,319,51,25,16.0,7.8,,F4320309677,False,24,295,1060,51.0,16.0,16.0,16.0
National Supercomputing Centre Singapore,Singapore,287,46,19,16.0,6.6,,F4320331617,False,22,265,2208,46.0,16.0,16.0,16.0
University of California,USA,431,69,43,16.0,10.0,,F4320308590,False,22,409,3966,69.0,16.0,16.0,16.0
Guizhou University,China,487,78,10,16.0,2.1,,F4320321927,False,49,438,3249,78.0,16.0,16.0,16.0
Eidgenössische Technische Hochschule Zürich,Switzerland,3047,487,269,16.0,8.8,,F4320321652,False,242,2805,24083,487.0,16.0,16.0,16.0
Mark Foundation For Cancer Research,USA,225,36,33,16.0,14.7,,F4320315143,False,22,203,661,36.0,16.0,16.0,16.0
Tour de Cure,Australia,125,20,5,16.0,4.0,,F4320331534,False,16,109,340,20.0,16.0,16.0,16.0
University of Essex,UK,338,54,23,16.0,6.8,,F4320311731,False,11,327,3670,54.0,16.0,16.0,16.0
Brookhaven National Laboratory,USA,795,127,23,16.0,2.9,,F4320338289,False,32,763,11887,127.0,16.0,16.0,16.0
Universidade Federal de Viçosa,Brazil,131,21,1,16.0,0.8,,F4320316427,False,3,128,2174,21.0,16.0,16.0,16.0
Planning and Budgeting Committee of the Council for Higher Education of Israel,Israel,237,38,12,16.0,5.1,,F4320335375,False,3,234,1401,38.0,16.0,16.0,16.0
Agence Universitaire de la Francophonie,Canada,164,26,2,15.9,1.2,,F4320321415,False,2,162,1347,26.0,15.9,15.9,15.9
Stanford Cancer Institute,USA,113,18,15,15.9,13.3,,F4320337814,False,1,112,435,18.0,15.9,15.9,15.9
Deutsches Krebsforschungszentrum,Germany,2119,337,142,15.9,6.7,,F4320310693,False,115,2004,9366,337.0,15.9,15.9,15.9
Yale Cancer Center,USA,126,20,9,15.9,7.1,,F4320312423,False,5,121,541,20.0,15.9,15.9,15.9
Fondation Institut de Cardiologie de Montréal,Canada,107,17,11,15.9,10.3,,F4320327713,False,8,99,293,17.0,15.9,15.9,15.9
Applied Molecular Biosciences Unit,Portugal,251,40,21,15.9,8.4,,F4320329036,False,10,241,920,40.0,15.9,15.9,15.9
"Dan L. Duncan Cancer Center, Baylor College of Medicine",USA,107,17,1,15.9,0.9,,F4320310591,False,2,105,327,17.0,15.9,15.9,15.9
Cancer Center Amsterdam,Netherlands,132,21,11,15.9,8.3,,F4320329805,False,8,124,348,21.0,15.9,15.9,15.9
Child and Family Research Institute,Canada,107,17,4,15.9,3.7,,F4320311442,False,0,107,390,17.0,15.9,15.9,15.9
National Academy of Sciences,USA,138,22,7,15.9,5.1,,F4320332184,False,8,130,1984,22.0,15.9,15.9,15.9
University of North Carolina at Charlotte,USA,164,26,15,15.9,9.1,,F4320333028,False,14,150,1675,26.0,15.9,15.9,15.9
Ministry of Agriculture - Saskatchewan,Canada,245,39,4,15.9,1.6,,F4320310866,False,8,237,2040,39.0,15.9,15.9,15.9
Trond Mohn stiftelse,Norway,315,50,42,15.9,13.3,,F4320316417,False,31,284,1167,50.0,15.9,15.9,15.9
Fru Berta Kamprads Stiftelse,Sweden,201,32,12,15.9,6.0,,F4320322790,False,18,183,349,32.0,15.9,15.9,15.9
Agentschap Innoveren en Ondernemen,Belgium,484,77,57,15.9,11.8,,F4320313460,False,41,443,3815,77.0,15.9,15.9,15.9
Fondo de Financiamiento de Centros de Investigación en Áreas Prioritarias,CL,667,106,26,15.9,3.9,,F4320338206,False,26,641,4402,106.0,15.9,15.9,15.9
U.S. Fish and Wildlife Service,USA,1399,221,83,15.8,5.9,,F4320332182,False,37,1362,21977,221.0,15.8,15.8,15.8
Universität Konstanz,Germany,602,95,48,15.8,8.0,,F4320326505,False,35,567,3230,95.0,15.8,15.8,15.8
Home Office,UK,184,29,12,15.8,6.5,,F4320320312,False,5,179,1593,29.0,15.8,15.8,15.8
University of Arizona,USA,804,127,44,15.8,5.5,,F4320310160,False,16,788,12551,127.0,15.8,15.8,15.8
University of Pretoria,South Africa,1075,170,32,15.8,3.0,,F4320320692,False,74,1001,8978,170.0,15.8,15.8,15.8
Georgia Research Alliance,USA,430,68,23,15.8,5.3,,F4320310224,False,15,415,1879,68.0,15.8,15.8,15.8
American Association for Cancer Research,USA,584,92,51,15.8,8.7,,F4320306091,False,21,563,2649,92.0,15.8,15.8,15.8
Israeli Centers for Research Excellence,Israel,437,69,22,15.8,5.0,,F4320335016,False,6,431,2755,69.0,15.8,15.8,15.8
Princeton University,USA,797,126,54,15.8,6.8,,F4320309292,False,39,758,21058,126.0,15.8,15.8,15.8
University of Florida Health,USA,146,23,16,15.8,11.0,,F4320332659,False,15,131,471,23.0,15.8,15.8,15.8
Universidade Federal do Rio de Janeiro,Brazil,754,119,23,15.8,3.1,,F4320325035,False,25,729,8816,119.0,15.8,15.8,15.8
Mae Fah Luang University,Thailand,158,25,0,15.8,0.0,,F4320322399,False,13,145,1143,25.0,15.8,15.8,15.8
Shenzhen Bay Laboratory,China,183,29,9,15.8,4.9,,F4320331248,False,24,159,704,29.0,15.8,15.8,15.8
Justus Liebig Universität Gießen,Germany,234,37,9,15.8,3.8,,F4320311010,False,6,228,1290,37.0,15.8,15.8,15.8
Novartis Institutes for BioMedical Research,Switzerland,241,38,10,15.8,4.1,,F4320333796,False,8,233,1052,38.0,15.8,15.8,15.8
Research and Development,USA,330,52,8,15.8,2.4,,F4320337504,False,22,308,15246,52.0,15.8,15.8,15.8
CIHR Skin Research Training Centre,Canada,209,33,19,15.8,9.1,,F4320338101,False,24,185,374,33.0,15.8,15.8,15.8
Universidad San Francisco de Quito,EC,228,36,10,15.8,4.4,,F4320326549,False,13,215,1392,36.0,15.8,15.8,15.8
Tore Nilsons Stiftelse för Medicinsk Forskning,Sweden,121,19,4,15.7,3.3,,F4320312367,False,4,117,445,19.0,15.7,15.7,15.7
University of Connecticut,USA,829,130,43,15.7,5.2,,F4320310017,False,25,804,10368,130.0,15.7,15.7,15.7
Ontario Research Foundation,Canada,185,29,16,15.7,8.6,,F4320313340,False,9,176,1195,29.0,15.7,15.7,15.7
Templeton World Charity Foundation,BS,369,58,68,15.7,18.4,,F4320327239,False,26,343,1563,58.0,15.7,15.7,15.7
Massachusetts Institute of Technology,USA,992,156,59,15.7,5.9,,F4320309369,False,74,918,16053,156.0,15.7,15.7,15.7
Basic Research Programs of Sichuan Province,China,102,16,2,15.7,2.0,,F4320334983,False,14,88,469,16.0,15.7,15.7,15.7
"National Academies of Sciences, Engineering, and Medicine",USA,127,20,9,15.7,7.1,,F4320311418,False,8,119,774,20.0,15.7,15.7,15.7
Instytut Biologii Medycznej Polskiej Akademii Nauk,Poland,108,17,5,15.7,4.6,,F4320334915,False,4,104,361,17.0,15.7,15.7,15.7
Universidad de Córdoba,CO,421,66,13,15.7,3.1,,F4320325299,False,30,391,3486,66.0,15.7,15.7,15.7
Spanish National Plan for Scientific and Technical Research and Innovation,Spain,217,34,17,15.7,7.8,,F4320336576,False,19,198,1134,34.0,15.7,15.7,15.7
NYU Langone Medical Center,USA,216,34,17,15.7,7.9,,F4320309399,False,8,208,738,34.0,15.7,15.7,15.7
Université de Lyon,France,575,90,46,15.7,8.0,,F4320326804,False,27,548,3870,90.0,15.7,15.7,15.7
Hellman Foundation,USA,134,21,23,15.7,17.2,,F4320311968,False,10,124,639,21.0,15.7,15.7,15.7
Malaysian Palm Oil Board,Malaysia,121,19,0,15.7,0.0,,F4320328606,False,0,121,1402,19.0,15.7,15.7,15.7
Isaac Newton Trust,UK,504,79,40,15.7,7.9,,F4320322909,False,24,480,2053,79.0,15.7,15.7,15.7
