pmid,pmcid,doi,oddpub_category,text_source,char_len
38467652,PMC10928215,10.1038/s41597-024-03092-8,,mineru_md,60008
38493221,PMC10944538,10.1038/s41597-024-03025-5,github,mineru_md,56426
38499581,PMC10948805,10.1038/s41597-024-03105-6,"re-use, unknown/misspecified source",mineru_md,80021
38503792,PMC10951232,10.1038/s41597-024-03130-5,,mineru_md,34499
38509068,PMC10954639,10.1038/s41597-024-03134-1,,mineru_md,16986
38514683,PMC10957931,10.1038/s41597-024-03138-x,supplement,mineru_md,48670
38521796,PMC10960823,10.1038/s41597-024-03143-0,,mineru_md,60407
38538625,PMC10973510,10.1038/s41597-024-03161-y,,mineru_md,66714
38553541,PMC10980787,10.1038/s41597-024-03149-8,,mineru_md,80021
38553544,PMC10980736,10.1038/s41597-024-03147-w,"supplement, upon request, unknown/misspecified source",mineru_md,80021
38570477,PMC10991304,10.1038/s41597-024-03151-0,,mineru_md,36733
38570520,PMC10991379,10.1038/s41597-024-03158-7,github,mineru_md,36230
38575591,PMC10995170,10.1038/s41597-024-03186-3,unknown/misspecified source,mineru_md,63651
38575659,PMC10995213,10.1038/s41597-024-03148-9,"github, unknown/misspecified source",mineru_md,80021
38582751,PMC10998834,10.1038/s41597-024-03180-9,supplement,mineru_md,59026
38582756,PMC10998916,10.1038/s41597-024-03176-5,,mineru_md,61204
38582793,PMC10998872,10.1038/s41597-024-03195-2,,mineru_md,43544
38589396,PMC11001905,10.1038/s41597-024-03167-6,unknown/misspecified source,mineru_md,41849
38600169,PMC11006833,10.1038/s41597-024-03199-y,,mineru_md,65706
38600185,PMC11006661,10.1038/s41597-024-03088-4,unknown/misspecified source,mineru_md,80021
38605057,PMC11009284,10.1038/s41597-024-03196-1,,mineru_md,80021
38605088,PMC11009408,10.1038/s41597-024-03182-7,github,mineru_md,50812
38609400,PMC11014970,10.1038/s41597-024-03208-0,github,mineru_md,80021
38609405,PMC11014927,10.1038/s41597-024-03193-4,supplement,mineru_md,58628
38615135,PMC11016106,10.1038/s41597-024-03201-7,,mineru_md,80021
38627446,PMC11021437,10.1038/s41597-024-03243-x,supplement,mineru_md,37073
38632258,PMC11024106,10.1038/s41597-024-03244-w,,mineru_md,56948
38632296,PMC11024087,10.1038/s41597-024-03214-2,github,mineru_md,74787
38637551,PMC11026384,10.1038/s41597-024-03228-w,supplement,mineru_md,53040
38643170,PMC11032403,10.1038/s41597-024-03224-0,,mineru_md,56364
38643186,PMC11032401,10.1038/s41597-024-03216-0,github,mineru_md,53846
38643291,PMC11032332,10.1038/s41597-024-03252-w,github,mineru_md,39298
38649344,PMC11035565,10.1038/s41597-024-03223-1,github,mineru_md,59740
38649712,PMC11035563,10.1038/s41597-024-03263-7,re-use,mineru_md,57763
38653962,PMC11039729,10.1038/s41597-024-03156-9,,mineru_md,80021
38658675,PMC11043390,10.1038/s41597-024-03268-2,,mineru_md,28739
38664437,PMC11045741,10.1038/s41597-024-03269-1,,mineru_md,37054
38702300,PMC11068769,10.1038/s41597-024-03258-4,,mineru_md,69106
38702302,PMC11068789,10.1038/s41597-024-03282-4,github,mineru_md,46594
38702315,PMC11068785,10.1038/s41597-024-03271-7,github,mineru_md,71779
38710687,PMC11074133,10.1038/s41597-024-03261-9,unknown/misspecified source,mineru_md,52832
38710697,PMC11074251,10.1038/s41597-024-03288-y,,mineru_md,35490
38719810,PMC11078919,10.1038/s41597-024-03279-z,,mineru_md,52328
38719854,PMC11078918,10.1038/s41597-024-03292-2,upon request,mineru_md,41719
38719869,PMC11078987,10.1038/s41597-024-03318-9,,mineru_md,72041
38719888,PMC11078983,10.1038/s41597-024-03287-z,unknown/misspecified source,mineru_md,66003
38719891,PMC11078952,10.1038/s41597-024-03272-6,"supplement, re-use",mineru_md,53684
38724536,PMC11082132,10.1038/s41597-024-03336-7,unknown/misspecified source,mineru_md,45342
38724574,PMC11082202,10.1038/s41597-024-03328-7,unknown/misspecified source,mineru_md,40384
38724591,PMC11082150,10.1038/s41597-024-03283-3,"re-use, unknown/misspecified source",mineru_md,58852
38724595,PMC11082239,10.1038/s41597-024-03301-4,github,mineru_md,80021
38729970,PMC11087485,10.1038/s41597-024-03337-6,github,mineru_md,57159
38729994,PMC11087584,10.1038/s41597-024-03311-2,upon request,mineru_md,77981
38734679,PMC11088675,10.1038/s41597-024-03217-z,github,mineru_md,37289
38744841,PMC11094021,10.1038/s41597-024-03310-3,unknown/misspecified source,mineru_md,55095
38750048,PMC11096168,10.1038/s41597-024-03326-9,"upon request, unknown/misspecified source",mineru_md,56655
38755158,PMC11099185,10.1038/s41597-024-03365-2,supplement,mineru_md,30768
38755168,PMC11099133,10.1038/s41597-024-03325-w,,mineru_md,80021
38760418,PMC11101445,10.1038/s41597-024-03345-6,github,mineru_md,48810
38760422,PMC11101425,10.1038/s41597-024-03256-6,,mineru_md,22361
38760443,PMC11101477,10.1038/s41597-024-03354-5,supplement,mineru_md,45692
38778011,PMC11111760,10.1038/s41597-024-03346-5,,mineru_md,48370
38778022,PMC11111776,10.1038/s41597-024-03360-7,supplement,mineru_md,31074
38796572,PMC11127944,10.1038/s41597-024-03391-0,,mineru_md,46204
38811583,PMC11136952,10.1038/s41597-024-03406-w,,mineru_md,36665
38834583,PMC11150430,10.1038/s41597-024-03400-2,github,mineru_md,26209
38834588,PMC11150240,10.1038/s41597-024-03419-5,,mineru_md,42488
38834597,PMC11150433,10.1038/s41597-024-03416-8,github,mineru_md,46534
38839790,PMC11153528,10.1038/s41597-024-03432-8,github,mineru_md,29845
38844496,PMC11156870,10.1038/s41597-024-03433-7,"supplement, unknown/misspecified source",mineru_md,71343
38844775,PMC11156903,10.1038/s41597-024-03434-6,github,mineru_md,63377
38849366,PMC11161459,10.1038/s41597-024-03396-9,,mineru_md,30885
38849391,PMC11161508,10.1038/s41597-024-03441-7,"supplement, unknown/misspecified source",mineru_md,54371
38866772,PMC11169240,10.1038/s41597-024-03460-4,unknown/misspecified source,mineru_md,39751
38866799,PMC11169371,10.1038/s41597-024-03475-x,,mineru_md,51806
38866820,PMC11169488,10.1038/s41597-024-03446-2,unknown/misspecified source,mineru_md,52561
38866856,PMC11169221,10.1038/s41597-024-03407-9,"upon request, unknown/misspecified source",mineru_md,61151
38871736,PMC11176178,10.1038/s41597-024-03488-6,unknown/misspecified source,mineru_md,41141
38871749,PMC11176378,10.1038/s41597-024-03449-z,upon request,mineru_md,74947
38871800,PMC11176335,10.1038/s41597-024-03383-0,"github, unknown/misspecified source",mineru_md,32568
