journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct
Nature Structural & Molecular Biology,151,130.0,52.0,139.0,127.0,12.0,3.0,86.1,34.4
Microbial Genomics,223,189.0,74.0,1.0,1.0,222.0,188.0,84.8,33.2
Molecular & Cellular Proteomics,207,169.0,41.0,0.0,0.0,207.0,169.0,81.6,19.8
Cell Genomics,182,146.0,119.0,4.0,4.0,178.0,142.0,80.2,65.4
Genome Research,217,165.0,135.0,2.0,2.0,215.0,163.0,76.0,62.2
Journal of Cognition,103,75.0,54.0,8.0,6.0,95.0,69.0,72.8,52.4
Cell Reports Methods,189,134.0,92.0,2.0,1.0,187.0,133.0,70.9,48.7
Environmental Microbiome,180,127.0,48.0,123.0,109.0,57.0,18.0,70.6,26.7
Nature Genetics,227,160.0,135.0,165.0,152.0,62.0,8.0,70.5,59.5
Nature Microbiology,194,135.0,87.0,158.0,126.0,36.0,9.0,69.6,44.8
Nature Biotechnology,120,83.0,58.0,117.0,83.0,3.0,0.0,69.2,48.3
Cancer Research,121,83.0,20.0,5.0,4.0,116.0,79.0,68.6,16.5
Cell Reports Medicine,535,359.0,187.0,8.0,7.0,527.0,352.0,67.1,35.0
Genome biology,459,305.0,252.0,318.0,284.0,141.0,21.0,66.4,54.9
Scientific Data,2421,1588.0,904.0,1694.0,1031.0,727.0,557.0,65.6,37.3
Cell Reports,645,417.0,201.0,25.0,20.0,620.0,397.0,64.7,31.2
Attention Perception & Psychophysics,116,73.0,53.0,98.0,67.0,18.0,6.0,62.9,45.7
Nature Immunology,113,71.0,42.0,85.0,66.0,28.0,5.0,62.8,37.2
Psychological Research,111,69.0,38.0,92.0,59.0,19.0,10.0,62.2,34.2
Nature Cell Biology,124,77.0,63.0,99.0,75.0,25.0,2.0,62.1,50.8
Microbiome,380,236.0,87.0,275.0,219.0,105.0,17.0,62.1,22.9
Animal Microbiome,140,85.0,29.0,87.0,70.0,53.0,15.0,60.7,20.7
Cognitive Research Principles and Implications,106,64.0,42.0,80.0,55.0,26.0,9.0,60.4,39.6
Behavior Research Methods,249,149.0,158.0,184.0,120.0,65.0,29.0,59.8,63.5
Genome Medicine,207,123.0,75.0,157.0,114.0,50.0,9.0,59.4,36.2
BMC Genomic Data,144,85.0,9.0,113.0,77.0,31.0,8.0,59.0,6.2
Nature Methods,212,125.0,130.0,165.0,118.0,47.0,7.0,59.0,61.3
PLoS Biology,648,381.0,259.0,266.0,144.0,382.0,237.0,58.8,40.0
Microbial Ecology,202,118.0,39.0,144.0,97.0,58.0,21.0,58.4,19.3
Stem Cell Reports,164,95.0,21.0,0.0,0.0,164.0,95.0,57.9,12.8
Nature Ecology & Evolution,129,74.0,73.0,104.0,71.0,25.0,3.0,57.4,56.6
Nature Metabolism,104,59.0,31.0,89.0,58.0,15.0,1.0,56.7,29.8
Nature Chemistry,122,68.0,21.0,107.0,68.0,15.0,0.0,55.7,17.2
Nature Neuroscience,173,96.0,83.0,136.0,94.0,37.0,2.0,55.5,48.0
MycoKeys,242,134.0,1.0,53.0,32.0,189.0,102.0,55.4,0.4
BMC Genomics,1747,962.0,262.0,1283.0,864.0,464.0,98.0,55.1,15.0
Patterns,123,67.0,73.0,1.0,0.0,122.0,67.0,54.5,59.3
Communications Psychology,185,100.0,106.0,129.0,86.0,56.0,14.0,54.1,57.3
BMC Biology,431,228.0,112.0,313.0,205.0,118.0,23.0,52.9,26.0
PLoS Genetics,458,234.0,100.0,216.0,121.0,242.0,113.0,51.1,21.8
iScience,3514,1785.0,1036.0,13.0,8.0,3501.0,1777.0,50.8,29.5
International Journal for Parasitology Parasites and Wildlife,162,81.0,1.0,0.0,0.0,162.0,81.0,50.0,0.6
Parasite,104,52.0,0.0,0.0,0.0,104.0,52.0,50.0,0.0
Mitochondrial DNA Part B,451,222.0,5.0,0.0,0.0,451.0,222.0,49.2,1.1
JCI Insight,691,338.0,60.0,16.0,9.0,675.0,329.0,48.9,8.7
npj Biofilms and Microbiomes,225,109.0,43.0,150.0,100.0,75.0,9.0,48.4,19.1
BMC Microbiology,874,421.0,32.0,593.0,360.0,281.0,61.0,48.2,3.7
Communications Biology,2503,1181.0,560.0,1822.0,1095.0,681.0,86.0,47.2,22.4
Plant Communications,231,107.0,21.0,0.0,0.0,231.0,107.0,46.3,9.1
Nature Communications,15129,6835.0,3401.0,11608.0,6486.0,3521.0,349.0,45.2,22.5
Cell Death and Differentiation,120,54.0,7.0,113.0,53.0,7.0,1.0,45.0,5.8
HardwareX,147,65.0,46.0,0.0,0.0,147.0,65.0,44.2,31.3
Parasitology,159,70.0,7.0,93.0,43.0,66.0,27.0,44.0,4.4
Data in Brief,1629,714.0,169.0,0.0,0.0,1629.0,714.0,43.8,10.4
FEMS Microbiology Ecology,199,87.0,33.0,0.0,0.0,199.0,87.0,43.7,16.6
Journal of Clinical Investigation,800,346.0,46.0,17.0,10.0,783.0,336.0,43.2,5.8
Cell Discovery,112,48.0,14.0,81.0,48.0,31.0,0.0,42.9,12.5
